Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,27,Ordinary,Alpha,4,21
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,0,Elite,Alpha,0,0
Cloud Spirit,Minion,Air,6,Ordinary,Alpha,3,6
Daperyll Vampire,Minion,Air,17,Exceptional,Alpha,2,21
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,18,Elite,Alpha,2,26
Grim Reaper,Minion,Air,2,Unique,Alpha,1,6
Gyre Hippogriffs,Minion,Air,15,Exceptional,Alpha,3,15
Haast Eagle,Minion,Air,1,Exceptional,Alpha,1,3
Headless Haunt,Minion,Air,6,Exceptional,Alpha,3,6
Highland Clansmen,Minion,Air,0,Ordinary,Alpha,0,0
Highland Falconer,Minion,Air,6,Elite,Alpha,2,9
Highland Princess,Minion,Air,11,Unique,Alpha,1,32
Hounds of Ondaros,Minion,Air,5,Elite,Alpha,2,9
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,0,Ordinary,Alpha,0,0
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,11,Elite,Alpha,2,18
Palliburrie Bats,Minion,Air,4,Ordinary,Alpha,2,6
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,3,Exceptional,Alpha,3,3
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,12,Exceptional,Alpha,3,12
Plumed Pegasus,Minion,Air,3,Ordinary,Alpha,3,3
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,2,Elite,Alpha,2,3
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,2,Exceptional,Alpha,2,3
Sky Baron,Minion,Air,0,Elite,Alpha,0,0
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,4,Ordinary,Alpha,4,3
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,0,Elite,Alpha,0,0
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,1,Unique,Alpha,1,3
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,38,Ordinary,Alpha,3,41
