Name,Count,Type,Rarity,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,8,Air,Ordinary,12
Blood Ravens,1,Air,Ordinary,6
Candlemas Monks,2,Air,Elite,6
Cloud Spirit,3,Air,Ordinary,6
Daperyll Vampire,5,Air,Exceptional,12
Dead of Night Demon,0,Air,Ordinary,0
East-West Dragon,0,Air,Elite,0
Grandmaster Wizard,6,Air,Elite,19
Grim Reaper,3,Air,Unique,19
Gyre Hippogriffs,12,Air,Exceptional,25
Haast Eagle,0,Air,Exceptional,0
Headless Haunt,12,Air,Exceptional,25
Highland Clansmen,0,Air,Ordinary,0
Highland Falconer,8,Air,Elite,25
Highland Princess,5,Air,Unique,31
Hounds of Ondaros,4,Air,Elite,12
Kite Archer,0,Air,Exceptional,0
Lord of the Void,0,Air,Unique,0
Men of Leng,0,Air,Ordinary,0
Midnight Rogue,0,Air,Ordinary,0
Moon Clan Werewolf,0,Air,Exceptional,0
Nightmare,0,Air,Elite,0
Nimbus Jinn,6,Air,Elite,19
Palliburrie Bats,12,Air,Ordinary,31
Peregrine Apparition,0,Air,Exceptional,0
Phantasmal Shade,2,Air,Exceptional,6
Phantom Steed,3,Air,Exceptional,6
Phase Assassin,12,Air,Exceptional,25
Plumed Pegasus,6,Air,Ordinary,12
Puppet Master,0,Air,Elite,0
Recurring Specter,0,Air,Elite,0
Riddle Sphinx,0,Air,Elite,0
Roaming Monster,0,Air,Ordinary,0
Skirmishers of Mu,6,Air,Exceptional,12
Sky Baron,0,Air,Elite,0
Sling Pixies,0,Air,Exceptional,0
Snow Leopard,0,Air,Ordinary,0
Spectral Stalker,0,Air,Ordinary,0
Spire Lich,0,Air,Exceptional,0
Ultimate Horror,1,Air,Unique,6
Vril Revenant,0,Air,Elite,0
Wind Sylph,0,Air,Exceptional,0
Witherwing Hero,0,Air,Unique,0
Zephyranne Airship,0,Air,Elite,0
Blink,24,Air,Ordinary,56
Browse,5,Air,Unique,31
Chain Lightning,2,Air,Exceptional,6
Chaos Twister,4,Air,Elite,12
Disenchant,3,Air,Ordinary,12
Dream-Quest,0,Air,Unique,0
Fade,0,Air,Ordinary,0
Flanking Maneuver,4,Air,Exceptional,12
Grapple Shot,29,Air,Ordinary,50
Lightning Bolt,22,Air,Ordinary,56
Mortality,0,Air,Ordinary,0
