Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
13 Treasures of Britain,Artifact,None,3,Unique,Arthurian Legends,1,2
A Midsummer Night's Dream,Aura,Air,0,Unique,Arthurian Legends,0,0
Aaj-kegon Ghost Crabs,Minion,Water,6,Elite,Gothic,2,2
Abaddon Succubus,Minion,Water,100,Elite,Gothic,2,26
Abundance,Aura,Water,12,Elite,Alpha,2,4
Abyssal Assault,Magic,Water,4,Exceptional,Gothic,1,2
Accursed Albatross,Minion,Water,6,Exceptional,Alpha,2,2
Accursed Desert,Site,Fire,37,Ordinary,Gothic,1,13
Accursed Tower,Site,Air,11,Ordinary,Gothic,2,4
Accusation,Magic,Fire,14,Exceptional,Gothic,3,3
Acid Rain,Aura,Water,22,Elite,Gothic,1,8
Active Volcano,Site,Fire,153,Exceptional,Gothic,2,38
Adept Illusionist,Minion,Water,50,Elite,Alpha,2,13
Adtonitum,Minion,Air,5,Unique,Dragonlord,1,3
Aethermoeba,Minion,Air,0,Elite,Gothic,0,0
Aino,Minion,Water,51,Unique,Gothic,1,27
Alabaster Box,Artifact,None,0,Elite,Gothic,0,0
Albespine Pikemen,Minion,Earth,3,Exceptional,Alpha,3,1
Algae Bloom,Site,Water,1,Ordinary,Gothic,1,1
Algor Omphalos,Artifact,None,29,Unique,Gothic,1,15
All Mortals Gone,Magic,Air,0,Unique,Gothic,0,0
All-terrain Vestments,Artifact,None,0,Elite,Alpha,0,0
Altar of Malachai,Site,None,4,Unique,Gothic,1,2
Alvalinne Dryads,Minion,Earth,0,Ordinary,Alpha,0,0
Amazon Warriors,Minion,Earth,3,Ordinary,Alpha,2,1
Amethyst Core,Artifact,None,23,Unique,Alpha,1,12
Amulet of Niniane,Artifact,None,15,Unique,Arthurian Legends,1,8
Ancient Dragon,Minion,Fire,2,Elite,Alpha,2,1
Angel Ascendant,Minion,Earth,6,Elite,Gothic,2,2
Angel's Egg,Artifact,None,9,Elite,Alpha,2,3
Angry Mob,Minion,Fire,27,Ordinary,Gothic,2,7
Animist,Avatar,None,2,,Gothic,1,1
Annual Fair,Site,None,7,Exceptional,Arthurian Legends,2,2
Anui Undine,Minion,Water,18,Exceptional,Alpha,2,4
Apostles of Thamariel,Minion,Earth,1,Unique,Gothic,1,1
Apply Alkahest,Magic,"Earth, Fire, Water, Air",11,Elite,Gothic,2,4
Apprentice Wizard,Minion,Air,36,Ordinary,Alpha,3,6
Aquamarine Core,Artifact,None,21,Unique,Alpha,1,11
Aqueduct,Site,"Earth, Water",47,Exceptional,Alpha,3,9
Aramos Mercenaries,Minion,Fire,4,Ordinary,Alpha,4,1
Arc Lightning,Magic,Air,0,Ordinary,Arthurian Legends,0,0
Arcade of Bones,Artifact,None,3,Elite,Gothic,2,1
Arcane Barrage,Magic,Air,17,Elite,Arthurian Legends,2,5
Archangel Gabriel,Minion,Air,5,Unique,Gothic,1,3
Archangel Michael,Minion,Earth,20,Unique,Gothic,1,11
Archangel Raphael,Minion,Water,34,Unique,Gothic,1,18
Archangel Samael,Minion,Fire,10,Unique,Gothic,1,5
Archimago,Avatar,None,4,,Arthurian Legends,1,2
Arid Desert,Site,Fire,74,Ordinary,Alpha,2,20
Arjaro Exorcist,Minion,Earth,56,Elite,Gothic,2,17
Armageddon,Magic,"Earth, Fire, Water, Air",0,Unique,Gothic,0,0
