Name,Count,Type,Rarity,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,33,Air,Ordinary,36
Blood Ravens,0,Air,Ordinary,0
Candlemas Monks,0,Air,Elite,0
Cloud Spirit,0,Air,Ordinary,0
Daperyll Vampire,19,Air,Exceptional,32
Dead of Night Demon,0,Air,Ordinary,0
East-West Dragon,0,Air,Elite,0
Grandmaster Wizard,25,Air,Elite,46
Grim Reaper,4,Air,Unique,14
Gyre Hippogriffs,10,Air,Exceptional,21
Haast Eagle,0,Air,Exceptional,0
Headless Haunt,0,Air,Exceptional,0
Highland Clansmen,9,Air,Ordinary,11
Highland Falconer,5,Air,Elite,11
Highland Princess,4,Air,Unique,14
Hounds of Ondaros,5,Air,Elite,11
Kite Archer,0,Air,Exceptional,0
Lord of the Void,0,Air,Unique,0
Men of Leng,6,Air,Ordinary,7
Midnight Rogue,4,Air,Ordinary,4
Moon Clan Werewolf,0,Air,Exceptional,0
Nightmare,0,Air,Elite,0
Nimbus Jinn,9,Air,Elite,18
Palliburrie Bats,1,Air,Ordinary,4
Peregrine Apparition,0,Air,Exceptional,0
Phantasmal Shade,0,Air,Exceptional,0
Phantom Steed,0,Air,Exceptional,0
Phase Assassin,5,Air,Exceptional,11
Plumed Pegasus,0,Air,Ordinary,0
Puppet Master,0,Air,Elite,0
Recurring Specter,0,Air,Elite,0
Riddle Sphinx,2,Air,Elite,4
Roaming Monster,0,Air,Ordinary,0
Skirmishers of Mu,6,Air,Exceptional,11
Sky Baron,2,Air,Elite,4
Sling Pixies,0,Air,Exceptional,0
Snow Leopard,0,Air,Ordinary,0
Spectral Stalker,0,Air,Ordinary,0
Spire Lich,2,Air,Exceptional,7
Ultimate Horror,0,Air,Unique,0
Vril Revenant,1,Air,Elite,4
Wind Sylph,0,Air,Exceptional,0
Witherwing Hero,0,Air,Unique,0
Zephyranne Airship,0,Air,Elite,0
Blink,33,Air,Ordinary,46
Browse,5,Air,Unique,18
Chain Lightning,1,Air,Exceptional,4
Chaos Twister,3,Air,Elite,7
Disenchant,12,Air,Ordinary,32
Dream-Quest,1,Air,Unique,4
Fade,0,Air,Ordinary,0
Flanking Maneuver,1,Air,Exceptional,4
Grapple Shot,36,Air,Ordinary,43
Lightning Bolt,24,Air,Ordinary,46
Mortality,0,Air,Ordinary,0
Occult Ritual,0,Air,Unique,0
Psionic Blast,0,Air,Exceptional,0
Rain of Arrows,0,Air,Ordinary,0
Raise Dead,0,Air,Exceptional,0
Recall,1,Air,Exceptional,4
Telekinesis,0,Air,Exceptional,0
Teleport,1,Air,Ordinary,4
Unlikely Alliance,0,Air,Elite,0
Waypoint Portal,3,Air,Exceptional,7
Whirling Blades,9,Air,Exceptional,18
Windblast,1,Air,Exceptional,4
Evil Presence,0,Air,Exceptional,0
Summoning Sphere,15,Air,Exceptional,32
Thunderstorm,13,Air,Exceptional,18
Wall of Air,0,Air,Ordinary,0
Albespine Pikemen,0,Earth,Exceptional,0
Alvalinne Dryads,0,Earth,Ordinary,0
Amazon Warriors,4,Earth,Ordinary,11
Atlas Wanderers,3,Earth,Elite,7
Autumn Unicorn,9,Earth,Exceptional,18
Belmotte Longbowmen,6,Earth,Ordinary,7
Bone Rabble,3,Earth,Ordinary,4
Bosk Troll,0,Earth,Ordinary,0
Cave Trolls,6,Earth,Ordinary,7
Conqueror Worm,2,Earth,Elite,4
Crown Prince,0,Earth,Unique,0
Dalcean Phalanx,5,Earth,Exceptional,7
Dwarven Digging Team,0,Earth,Exceptional,0
Frontier Settlers,6,Earth,Exceptional,11
Gneissgnath Gnomes,1,Earth,Exceptional,4
Grey Wolves,0,Earth,Ordinary,0
House Arn Bannerman,2,Earth,Exceptional,4
King of the Realm,1,Earth,Unique,4
Land Surveyor,24,Earth,Ordinary,29
Mage Slayer,0,Earth,Ordinary,0
Master Tracker,0,Earth,Elite,0
Midland Army,1,Earth,Unique,4
Miracle Workers,0,Earth,Ordinary,0
Monastery Gargoyle,0,Earth,Exceptional,0
Monster Hunter,0,Earth,Exceptional,0
Mordric Druids,0,Earth,Elite,0
Mountain Giant,1,Earth,Elite,4
Pudge Butcher,17,Earth,Exceptional,32
Queen of Midland,3,Earth,Unique,11
Root Spider,18,Earth,Exceptional,29
Royal Bodyguard,3,Earth,Elite,7
Scent Hounds,3,Earth,Ordinary,7
Scourge Zombies,0,Earth,Ordinary,0
Shield Maidens,0,Earth,Exceptional,0
Silver Valkyries,0,Earth,Elite,0
Sirian Templar,2,Earth,Exceptional,4
Sisters of Silence,0,Earth,Elite,0
Slumbering Giantess,3,Earth,Exceptional,4
Squirming Mass,0,Earth,Elite,0
Stone-gaze Gorgons,2,Earth,Elite,7
Tragedy Worrywart,6,Earth,Exceptional,14
Vanguard Knights,0,Earth,Exceptional,0
Wicked Witch,0,Earth,Elite,0
Wild Boars,2,Earth,Ordinary,4
Wraetannis Titan,13,Earth,Elite,29
Yourke Crossbowmen,0,Earth,Exceptional,0
Assorted Animals,3,Earth,Elite,7
Border Militia,3,Earth,Ordinary,7
Bury,28,Earth,Ordinary,43
Call to War,0,Earth,Exceptional,0
Cave-In,2,Earth,Exceptional,7
Common Sense,29,Earth,Ordinary,36
