Name,Count,Type,Rarity,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,0,Air,Ordinary,0
Blood Ravens,0,Air,Ordinary,0
Candlemas Monks,0,Air,Elite,0
Cloud Spirit,2,Air,Ordinary,12
Daperyll Vampire,8,Air,Exceptional,50
Dead of Night Demon,0,Air,Ordinary,0
East-West Dragon,0,Air,Elite,0
Grandmaster Wizard,0,Air,Elite,0
Grim Reaper,0,Air,Unique,0
Gyre Hippogriffs,8,Air,Exceptional,38
Haast Eagle,0,Air,Exceptional,0
Headless Haunt,3,Air,Exceptional,12
Highland Clansmen,2,Air,Ordinary,12
Highland Falconer,2,Air,Elite,12
Highland Princess,0,Air,Unique,0
Hounds of Ondaros,2,Air,Elite,12
Kite Archer,0,Air,Exceptional,0
Lord of the Void,0,Air,Unique,0
Men of Leng,0,Air,Ordinary,0
Midnight Rogue,0,Air,Ordinary,0
Moon Clan Werewolf,0,Air,Exceptional,0
Nightmare,0,Air,Elite,0
Nimbus Jinn,0,Air,Elite,0
Palliburrie Bats,5,Air,Ordinary,25
Peregrine Apparition,0,Air,Exceptional,0
Phantasmal Shade,0,Air,Exceptional,0
Phantom Steed,0,Air,Exceptional,0
Phase Assassin,6,Air,Exceptional,25
Plumed Pegasus,0,Air,Ordinary,0
Puppet Master,0,Air,Elite,0
Recurring Specter,0,Air,Elite,0
Riddle Sphinx,0,Air,Elite,0
Roaming Monster,0,Air,Ordinary,0
Skirmishers of Mu,0,Air,Exceptional,0
Sky Baron,0,Air,Elite,0
Sling Pixies,2,Air,Exceptional,12
Snow Leopard,0,Air,Ordinary,0
Spectral Stalker,0,Air,Ordinary,0
Spire Lich,0,Air,Exceptional,0
Ultimate Horror,0,Air,Unique,0
Vril Revenant,0,Air,Elite,0
Wind Sylph,0,Air,Exceptional,0
Witherwing Hero,0,Air,Unique,0
Zephyranne Airship,0,Air,Elite,0
Blink,8,Air,Ordinary,38
Browse,0,Air,Unique,0
Chain Lightning,0,Air,Exceptional,0
Chaos Twister,0,Air,Elite,0
Disenchant,1,Air,Ordinary,12
Dream-Quest,0,Air,Unique,0
Fade,0,Air,Ordinary,0
Flanking Maneuver,3,Air,Exceptional,12
Grapple Shot,15,Air,Ordinary,62
Lightning Bolt,7,Air,Ordinary,50
Mortality,0,Air,Ordinary,0
Occult Ritual,0,Air,Unique,0
Psionic Blast,0,Air,Exceptional,0
Rain of Arrows,0,Air,Ordinary,0
Raise Dead,0,Air,Exceptional,0
Recall,0,Air,Exceptional,0
Telekinesis,0,Air,Exceptional,0
Teleport,0,Air,Ordinary,0
Unlikely Alliance,0,Air,Elite,0
Waypoint Portal,0,Air,Exceptional,0
Whirling Blades,1,Air,Exceptional,12
Windblast,0,Air,Exceptional,0
Evil Presence,0,Air,Exceptional,0
Summoning Sphere,0,Air,Exceptional,0
Thunderstorm,3,Air,Exceptional,12
Wall of Air,0,Air,Ordinary,0
Albespine Pikemen,0,Earth,Exceptional,0
Alvalinne Dryads,0,Earth,Ordinary,0
Amazon Warriors,5,Earth,Ordinary,38
Atlas Wanderers,5,Earth,Elite,38
Autumn Unicorn,15,Earth,Exceptional,62
Belmotte Longbowmen,0,Earth,Ordinary,0
Bone Rabble,0,Earth,Ordinary,0
Bosk Troll,5,Earth,Ordinary,25
Cave Trolls,2,Earth,Ordinary,25
Conqueror Worm,1,Earth,Elite,12
Crown Prince,1,Earth,Unique,12
Dalcean Phalanx,8,Earth,Exceptional,38
Dwarven Digging Team,0,Earth,Exceptional,0
Frontier Settlers,3,Earth,Exceptional,12
Gneissgnath Gnomes,0,Earth,Exceptional,0
Grey Wolves,0,Earth,Ordinary,0
House Arn Bannerman,0,Earth,Exceptional,0
King of the Realm,1,Earth,Unique,12
Land Surveyor,7,Earth,Ordinary,25
Mage Slayer,0,Earth,Ordinary,0
Master Tracker,0,Earth,Elite,0
Midland Army,1,Earth,Unique,12
Miracle Workers,0,Earth,Ordinary,0
Monastery Gargoyle,0,Earth,Exceptional,0
Monster Hunter,0,Earth,Exceptional,0
Mordric Druids,0,Earth,Elite,0
Mountain Giant,0,Earth,Elite,0
Pudge Butcher,9,Earth,Exceptional,38
Queen of Midland,1,Earth,Unique,12
Root Spider,13,Earth,Exceptional,62
Royal Bodyguard,7,Earth,Elite,50
Scent Hounds,1,Earth,Ordinary,12
Scourge Zombies,0,Earth,Ordinary,0
Shield Maidens,0,Earth,Exceptional,0
Silver Valkyries,0,Earth,Elite,0
Sirian Templar,0,Earth,Exceptional,0
Sisters of Silence,2,Earth,Elite,12
Slumbering Giantess,0,Earth,Exceptional,0
Squirming Mass,0,Earth,Elite,0
Stone-gaze Gorgons,4,Earth,Elite,25
Tragedy Worrywart,0,Earth,Exceptional,0
Vanguard Knights,0,Earth,Exceptional,0
Wicked Witch,0,Earth,Elite,0
Wild Boars,0,Earth,Ordinary,0
Wraetannis Titan,2,Earth,Elite,12
Yourke Crossbowmen,0,Earth,Exceptional,0
Assorted Animals,2,Earth,Elite,12
Border Militia,1,Earth,Ordinary,12
Bury,8,Earth,Ordinary,62
Call to War,0,Earth,Exceptional,0
Cave-In,3,Earth,Exceptional,12
Common Sense,16,Earth,Ordinary,75
Craterize,3,Earth,Elite,25
Dispel,7,Earth,Ordinary,62
Divine Healing,7,Earth,Exceptional,38
Earthquake,12,Earth,Elite,75
Exorcism,0,Earth,Ordinary,0
Gigantism,2,Earth,Unique,25
Minecart Madness,0,Earth,Exceptional,0
Overpower,0,Earth,Ordinary,0
Shield Wall,0,Earth,Exceptional,0
Star-Seeds of Uhr,0,Earth,Unique,0
Unravel,0,Earth,Ordinary,0
Crusade,1,Earth,Unique,12
Entangle Terrain,1,Earth,Ordinary,12
Rest in Peace,0,Earth,Elite,0
Ancient Dragon,0,Fire,Elite,0
Aramos Mercenaries,0,Fire,Ordinary,0
Askelon Phoenix,0,Fire,Elite,0
Awakened Mummies,0,Fire,Exceptional,0
Azuridge Caravan,0,Fire,Ordinary,0
Bane Widow,0,Fire,Exceptional,0
Beast of Burden,0,Fire,Ordinary,0
Bull Demons of Adum,0,Fire,Elite,0
Cauldron Crones,0,Fire,Ordinary,0
Cerberus in Chains,0,Fire,Unique,0
Clamor of Harpies,0,Fire,Exceptional,0
Colicky Dragonettes,0,Fire,Exceptional,0
Courtesan Thais,0,Fire,Unique,0
Death Dealer,0,Fire,Unique,0
Doomsday Prophet,0,Fire,Unique,0
Escyllion Cyclops,0,Fire,Exceptional,0
Far East Assassin,0,Fire,Elite,0
Grosse Poltergeist,0,Fire,Elite,0
Hillock Basilisk,0,Fire,Exceptional,0
Infernal Legion,0,Fire,Elite,0
Karkemish Chimera,0,Fire,Elite,0
Lava Salamander,0,Fire,Exceptional,0
Maze Minotaur,0,Fire,Elite,0
Ogre Goons,0,Fire,Ordinary,0
Outback Strider,0,Fire,Exceptional,0
Panorama Manticore,0,Fire,Elite,0
Petrosian Cavalry,4,Fire,Ordinary,12
Pit Vipers,1,Fire,Ordinary,12
Quarrelsome Kobolds,5,Fire,Exceptional,25
Raal Dromedary,0,Fire,Ordinary,0
