Name,Count,Type,Rarity,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,31,Air,Ordinary,15
Blood Ravens,0,Air,Ordinary,0
Candlemas Monks,0,Air,Elite,0
Cloud Spirit,9,Air,Ordinary,7
Daperyll Vampire,37,Air,Exceptional,30
Dead of Night Demon,0,Air,Ordinary,0
East-West Dragon,0,Air,Elite,0
Grandmaster Wizard,21,Air,Elite,20
Grim Reaper,8,Air,Unique,13
Gyre Hippogriffs,39,Air,Exceptional,21
Haast Eagle,3,Air,Exceptional,3
Headless Haunt,39,Air,Exceptional,21
Highland Clansmen,5,Air,Ordinary,3
Highland Falconer,21,Air,Elite,18
Highland Princess,10,Air,Unique,16
Hounds of Ondaros,15,Air,Elite,15
Kite Archer,3,Air,Exceptional,2
Lord of the Void,3,Air,Unique,5
Men of Leng,3,Air,Ordinary,2
Midnight Rogue,0,Air,Ordinary,0
Moon Clan Werewolf,5,Air,Exceptional,3
Nightmare,0,Air,Elite,0
Nimbus Jinn,13,Air,Elite,11
Palliburrie Bats,32,Air,Ordinary,18
Peregrine Apparition,2,Air,Exceptional,2
Phantasmal Shade,12,Air,Exceptional,8
Phantom Steed,0,Air,Exceptional,0
Phase Assassin,32,Air,Exceptional,18
Plumed Pegasus,16,Air,Ordinary,8
Puppet Master,0,Air,Elite,0
Recurring Specter,2,Air,Elite,2
Riddle Sphinx,1,Air,Elite,2
Roaming Monster,1,Air,Ordinary,2
Skirmishers of Mu,8,Air,Exceptional,5
Sky Baron,0,Air,Elite,0
Sling Pixies,2,Air,Exceptional,2
Snow Leopard,0,Air,Ordinary,0
Spectral Stalker,7,Air,Ordinary,3
Spire Lich,2,Air,Exceptional,2
Ultimate Horror,4,Air,Unique,7
Vril Revenant,6,Air,Elite,5
Wind Sylph,0,Air,Exceptional,0
Witherwing Hero,4,Air,Unique,7
Zephyranne Airship,0,Air,Elite,0
Blink,79,Air,Ordinary,52
Browse,9,Air,Unique,15
Chain Lightning,4,Air,Exceptional,5
Chaos Twister,19,Air,Elite,16
Disenchant,24,Air,Ordinary,30
Dream-Quest,0,Air,Unique,0
Fade,2,Air,Ordinary,2
Flanking Maneuver,13,Air,Exceptional,8
Grapple Shot,91,Air,Ordinary,51
Lightning Bolt,62,Air,Ordinary,56
Mortality,0,Air,Ordinary,0
Occult Ritual,0,Air,Unique,0
Psionic Blast,0,Air,Exceptional,0
Rain of Arrows,1,Air,Ordinary,2
Raise Dead,1,Air,Exceptional,2
Recall,0,Air,Exceptional,0
Telekinesis,0,Air,Exceptional,0
Teleport,3,Air,Ordinary,3
Unlikely Alliance,0,Air,Elite,0
Waypoint Portal,0,Air,Exceptional,0
Whirling Blades,11,Air,Exceptional,13
Windblast,0,Air,Exceptional,0
Evil Presence,9,Air,Exceptional,7
Summoning Sphere,8,Air,Exceptional,8
Thunderstorm,24,Air,Exceptional,15
Wall of Air,0,Air,Ordinary,0
Albespine Pikemen,3,Earth,Exceptional,2
Alvalinne Dryads,0,Earth,Ordinary,0
Amazon Warriors,34,Earth,Ordinary,25
Atlas Wanderers,21,Earth,Elite,20
Autumn Unicorn,59,Earth,Exceptional,34
Belmotte Longbowmen,2,Earth,Ordinary,2
Bone Rabble,4,Earth,Ordinary,2
Bosk Troll,36,Earth,Ordinary,23
Cave Trolls,9,Earth,Ordinary,13
Conqueror Worm,5,Earth,Elite,7
Crown Prince,3,Earth,Unique,5
Dalcean Phalanx,31,Earth,Exceptional,18
Dwarven Digging Team,1,Earth,Exceptional,2
Frontier Settlers,15,Earth,Exceptional,8
Gneissgnath Gnomes,0,Earth,Exceptional,0
Grey Wolves,0,Earth,Ordinary,0
House Arn Bannerman,2,Earth,Exceptional,2
King of the Realm,3,Earth,Unique,5
Land Surveyor,48,Earth,Ordinary,23
Mage Slayer,0,Earth,Ordinary,0
Master Tracker,0,Earth,Elite,0
Midland Army,2,Earth,Unique,3
Miracle Workers,0,Earth,Ordinary,0
Monastery Gargoyle,0,Earth,Exceptional,0
Monster Hunter,0,Earth,Exceptional,0
Mordric Druids,0,Earth,Elite,0
Mountain Giant,0,Earth,Elite,0
Pudge Butcher,39,Earth,Exceptional,25
Queen of Midland,4,Earth,Unique,7
Root Spider,67,Earth,Exceptional,43
Royal Bodyguard,21,Earth,Elite,21
Scent Hounds,3,Earth,Ordinary,5
Scourge Zombies,4,Earth,Ordinary,2
Shield Maidens,0,Earth,Exceptional,0
Silver Valkyries,0,Earth,Elite,0
Sirian Templar,0,Earth,Exceptional,0
Sisters of Silence,6,Earth,Elite,5
Slumbering Giantess,29,Earth,Exceptional,16
Squirming Mass,0,Earth,Elite,0
Stone-gaze Gorgons,7,Earth,Elite,7
Tragedy Worrywart,0,Earth,Exceptional,0
Vanguard Knights,5,Earth,Exceptional,3
Wicked Witch,0,Earth,Elite,0
Wild Boars,0,Earth,Ordinary,0
Wraetannis Titan,10,Earth,Elite,10
Yourke Crossbowmen,3,Earth,Exceptional,2
Assorted Animals,2,Earth,Elite,2
Border Militia,2,Earth,Ordinary,3
Bury,53,Earth,Ordinary,49
Call to War,0,Earth,Exceptional,0
Cave-In,7,Earth,Exceptional,5
Common Sense,81,Earth,Ordinary,56
Craterize,12,Earth,Elite,13
Dispel,27,Earth,Ordinary,39
Divine Healing,29,Earth,Exceptional,25
Earthquake,56,Earth,Elite,57
Exorcism,0,Earth,Ordinary,0
Gigantism,18,Earth,Unique,30
Minecart Madness,0,Earth,Exceptional,0
Overpower,1,Earth,Ordinary,2
Shield Wall,2,Earth,Exceptional,2
Star-Seeds of Uhr,0,Earth,Unique,0
Unravel,0,Earth,Ordinary,0
Crusade,4,Earth,Unique,7
Entangle Terrain,5,Earth,Ordinary,8
Rest in Peace,0,Earth,Elite,0
Ancient Dragon,1,Fire,Elite,2
Aramos Mercenaries,10,Fire,Ordinary,5
Askelon Phoenix,0,Fire,Elite,0
Awakened Mummies,0,Fire,Exceptional,0
Azuridge Caravan,0,Fire,Ordinary,0
Bane Widow,2,Fire,Exceptional,2
Beast of Burden,0,Fire,Ordinary,0
Bull Demons of Adum,1,Fire,Elite,2
Cauldron Crones,2,Fire,Ordinary,3
Cerberus in Chains,4,Fire,Unique,7
Clamor of Harpies,5,Fire,Exceptional,3
Colicky Dragonettes,20,Fire,Exceptional,11
Courtesan Thais,0,Fire,Unique,0
Death Dealer,13,Fire,Unique,21
Doomsday Prophet,0,Fire,Unique,0
Escyllion Cyclops,0,Fire,Exceptional,0
Far East Assassin,0,Fire,Elite,0
Grosse Poltergeist,0,Fire,Elite,0
Hillock Basilisk,0,Fire,Exceptional,0
Infernal Legion,7,Fire,Elite,7
Karkemish Chimera,0,Fire,Elite,0
Lava Salamander,0,Fire,Exceptional,0
Maze Minotaur,0,Fire,Elite,0
Ogre Goons,0,Fire,Ordinary,0
Outback Strider,3,Fire,Exceptional,2
Panorama Manticore,7,Fire,Elite,7
Petrosian Cavalry,38,Fire,Ordinary,21
Pit Vipers,12,Fire,Ordinary,11
