Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,30,Ordinary,Alpha,3,8
Blood Ravens,Minion,Air,2,Ordinary,Alpha,2,1
Candlemas Monks,Minion,Air,4,Elite,Alpha,2,2
Cloud Spirit,Minion,Air,19,Ordinary,Alpha,3,6
Daperyll Vampire,Minion,Air,180,Exceptional,Alpha,3,57
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,41,Elite,Alpha,2,20
Grim Reaper,Minion,Air,9,Unique,Alpha,1,8
Gyre Hippogriffs,Minion,Air,57,Exceptional,Alpha,3,18
Haast Eagle,Minion,Air,11,Exceptional,Alpha,3,4
Headless Haunt,Minion,Air,20,Exceptional,Alpha,3,6
Highland Clansmen,Minion,Air,7,Ordinary,Alpha,4,2
Highland Falconer,Minion,Air,19,Elite,Alpha,2,9
Highland Princess,Minion,Air,49,Unique,Alpha,1,44
Hounds of Ondaros,Minion,Air,27,Elite,Alpha,2,13
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,2,Ordinary,Alpha,2,1
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,13,Elite,Alpha,2,7
Palliburrie Bats,Minion,Air,25,Ordinary,Alpha,2,9
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,12,Exceptional,Alpha,3,4
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,35,Exceptional,Alpha,3,11
Plumed Pegasus,Minion,Air,14,Ordinary,Alpha,4,4
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,1,Elite,Alpha,1,1
Riddle Sphinx,Minion,Air,2,Elite,Alpha,2,1
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,6,Exceptional,Alpha,2,3
Sky Baron,Minion,Air,0,Elite,Alpha,0,0
Sling Pixies,Minion,Air,2,Exceptional,Alpha,2,1
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,0,Ordinary,Alpha,0,0
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,2,Elite,Alpha,2,1
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,10,Unique,Alpha,1,9
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,174,Ordinary,Alpha,3,57
Browse,Magic,Air,24,Unique,Alpha,1,21
Chain Lightning,Magic,Air,2,Exceptional,Alpha,2,1
Chaos Twister,Magic,Air,13,Elite,Alpha,2,7
Disenchant,Magic,Air,38,Ordinary,Alpha,1,28
Dream-Quest,Magic,Air,5,Unique,Alpha,1,4
Fade,Magic,Air,3,Ordinary,Alpha,2,2
Flanking Maneuver,Magic,Air,11,Exceptional,Alpha,1,8
Grapple Shot,Magic,Air,198,Ordinary,Alpha,3,57
Lightning Bolt,Magic,Air,80,Ordinary,Alpha,2,41
Mortality,Magic,Air,0,Ordinary,Alpha,0,0
Occult Ritual,Magic,Air,1,Unique,Alpha,1,1
Psionic Blast,Magic,Air,0,Exceptional,Alpha,0,0
Rain of Arrows,Magic,Air,0,Ordinary,Alpha,0,0
Raise Dead,Magic,Air,6,Exceptional,Alpha,2,3
Recall,Magic,Air,0,Exceptional,Alpha,0,0
Telekinesis,Magic,Air,3,Exceptional,Alpha,2,2
Teleport,Magic,Air,2,Ordinary,Alpha,2,1
Unlikely Alliance,Magic,Air,0,Elite,Alpha,0,0
Waypoint Portal,Magic,Air,0,Exceptional,Alpha,0,0
Whirling Blades,Magic,Air,44,Exceptional,Alpha,2,22
Windblast,Magic,Air,0,Exceptional,Alpha,0,0
Evil Presence,Aura,Air,8,Exceptional,Alpha,3,3
Summoning Sphere,Aura,Air,6,Exceptional,Alpha,1,4
Thunderstorm,Aura,Air,8,Exceptional,Alpha,2,4
Wall of Air,Aura,Air,0,Ordinary,Alpha,0,0
Albespine Pikemen,Minion,Earth,2,Exceptional,Alpha,2,1
Alvalinne Dryads,Minion,Earth,3,Ordinary,Alpha,2,2
Amazon Warriors,Minion,Earth,2,Ordinary,Alpha,1,2
Atlas Wanderers,Minion,Earth,15,Elite,Alpha,2,8
Autumn Unicorn,Minion,Earth,74,Exceptional,Alpha,3,22
Belmotte Longbowmen,Minion,Earth,3,Ordinary,Alpha,3,1
Bone Rabble,Minion,Earth,0,Ordinary,Alpha,0,0
Bosk Troll,Minion,Earth,32,Ordinary,Alpha,3,9
Cave Trolls,Minion,Earth,0,Ordinary,Alpha,0,0
Conqueror Worm,Minion,Earth,0,Elite,Alpha,0,0
Crown Prince,Minion,Earth,1,Unique,Alpha,1,1
Dalcean Phalanx,Minion,Earth,49,Exceptional,Alpha,3,17
Dwarven Digging Team,Minion,Earth,6,Exceptional,Alpha,2,3
Frontier Settlers,Minion,Earth,3,Exceptional,Alpha,3,1
Gneissgnath Gnomes,Minion,Earth,0,Exceptional,Alpha,0,0
Grey Wolves,Minion,Earth,43,Ordinary,Alpha,22,2
House Arn Bannerman,Minion,Earth,2,Exceptional,Alpha,2,1
King of the Realm,Minion,Earth,5,Unique,Alpha,1,4
Land Surveyor,Minion,Earth,33,Ordinary,Alpha,3,10
Mage Slayer,Minion,Earth,0,Ordinary,Alpha,0,0
Master Tracker,Minion,Earth,0,Elite,Alpha,0,0
Midland Army,Minion,Earth,0,Unique,Alpha,0,0
Miracle Workers,Minion,Earth,0,Ordinary,Alpha,0,0
