Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,24,Ordinary,Alpha,3,23
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,0,Elite,Alpha,0,0
Cloud Spirit,Minion,Air,3,Ordinary,Alpha,3,3
Daperyll Vampire,Minion,Air,9,Exceptional,Alpha,2,13
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,10,Elite,Alpha,2,17
Grim Reaper,Minion,Air,1,Unique,Alpha,1,3
Gyre Hippogriffs,Minion,Air,11,Exceptional,Alpha,3,13
Haast Eagle,Minion,Air,1,Exceptional,Alpha,1,3
Headless Haunt,Minion,Air,3,Exceptional,Alpha,3,3
Highland Clansmen,Minion,Air,8,Ordinary,Alpha,3,10
Highland Falconer,Minion,Air,7,Elite,Alpha,2,13
Highland Princess,Minion,Air,7,Unique,Alpha,1,23
Hounds of Ondaros,Minion,Air,1,Elite,Alpha,1,3
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,0,Ordinary,Alpha,0,0
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,4,Elite,Alpha,2,7
Palliburrie Bats,Minion,Air,5,Ordinary,Alpha,2,7
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,0,Exceptional,Alpha,0,0
Phantom Steed,Minion,Air,2,Exceptional,Alpha,2,3
Phase Assassin,Minion,Air,3,Exceptional,Alpha,3,3
Plumed Pegasus,Minion,Air,12,Ordinary,Alpha,4,10
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,0,Elite,Alpha,0,0
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,0,Exceptional,Alpha,0,0
Sky Baron,Minion,Air,0,Elite,Alpha,0,0
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,0,Ordinary,Alpha,0,0
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,2,Elite,Alpha,2,3
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,1,Unique,Alpha,1,3
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,40,Ordinary,Alpha,3,50
Browse,Magic,Air,5,Unique,Alpha,1,17
