Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,8,Ordinary,Alpha,4,9
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,0,Elite,Alpha,0,0
Cloud Spirit,Minion,Air,6,Ordinary,Alpha,3,9
Daperyll Vampire,Minion,Air,25,Exceptional,Alpha,2,43
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,10,Elite,Alpha,2,22
Grim Reaper,Minion,Air,0,Unique,Alpha,0,0
Gyre Hippogriffs,Minion,Air,9,Exceptional,Alpha,3,13
Haast Eagle,Minion,Air,6,Exceptional,Alpha,3,9
Headless Haunt,Minion,Air,5,Exceptional,Alpha,2,9
Highland Clansmen,Minion,Air,0,Ordinary,Alpha,0,0
Highland Falconer,Minion,Air,2,Elite,Alpha,2,4
Highland Princess,Minion,Air,9,Unique,Alpha,1,39
Hounds of Ondaros,Minion,Air,6,Elite,Alpha,2,13
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,0,Ordinary,Alpha,0,0
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,4,Elite,Alpha,2,9
Palliburrie Bats,Minion,Air,4,Ordinary,Alpha,4,4
Peregrine Apparition,Minion,Air,7,Exceptional,Alpha,1,22
Phantasmal Shade,Minion,Air,0,Exceptional,Alpha,0,0
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,8,Exceptional,Alpha,3,13
Plumed Pegasus,Minion,Air,4,Ordinary,Alpha,4,4
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,0,Elite,Alpha,0,0
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,3,Exceptional,Alpha,3,4
Sky Baron,Minion,Air,1,Elite,Alpha,1,4
Sling Pixies,Minion,Air,3,Exceptional,Alpha,3,4
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,0,Ordinary,Alpha,0,0
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,0,Elite,Alpha,0,0
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,3,Unique,Alpha,1,13
Zephyranne Airship,Minion,Air,2,Elite,Alpha,2,4
Blink,Magic,Air,14,Ordinary,Alpha,2,26
Browse,Magic,Air,6,Unique,Alpha,1,26
Chain Lightning,Magic,Air,0,Exceptional,Alpha,0,0
Chaos Twister,Magic,Air,2,Elite,Alpha,2,4
Disenchant,Magic,Air,6,Ordinary,Alpha,2,17
Dream-Quest,Magic,Air,1,Unique,Alpha,1,4
Fade,Magic,Air,0,Ordinary,Alpha,0,0
Flanking Maneuver,Magic,Air,0,Exceptional,Alpha,0,0
Grapple Shot,Magic,Air,20,Ordinary,Alpha,2,35
Lightning Bolt,Magic,Air,5,Ordinary,Alpha,1,17
Mortality,Magic,Air,0,Ordinary,Alpha,0,0
Occult Ritual,Magic,Air,0,Unique,Alpha,0,0
Psionic Blast,Magic,Air,0,Exceptional,Alpha,0,0
Rain of Arrows,Magic,Air,0,Ordinary,Alpha,0,0
Raise Dead,Magic,Air,0,Exceptional,Alpha,0,0
Recall,Magic,Air,0,Exceptional,Alpha,0,0
Telekinesis,Magic,Air,0,Exceptional,Alpha,0,0
Teleport,Magic,Air,0,Ordinary,Alpha,0,0
Unlikely Alliance,Magic,Air,0,Elite,Alpha,0,0
Waypoint Portal,Magic,Air,0,Exceptional,Alpha,0,0
Whirling Blades,Magic,Air,7,Exceptional,Alpha,2,17
Windblast,Magic,Air,0,Exceptional,Alpha,0,0
Evil Presence,Aura,Air,0,Exceptional,Alpha,0,0
Summoning Sphere,Aura,Air,3,Exceptional,Alpha,2,9
Thunderstorm,Aura,Air,0,Exceptional,Alpha,0,0
Wall of Air,Aura,Air,0,Ordinary,Alpha,0,0
Albespine Pikemen,Minion,Earth,0,Exceptional,Alpha,0,0
Alvalinne Dryads,Minion,Earth,0,Ordinary,Alpha,0,0
Amazon Warriors,Minion,Earth,0,Ordinary,Alpha,0,0
Atlas Wanderers,Minion,Earth,2,Elite,Alpha,2,4
Autumn Unicorn,Minion,Earth,6,Exceptional,Alpha,3,9
Belmotte Longbowmen,Minion,Earth,0,Ordinary,Alpha,0,0
Bone Rabble,Minion,Earth,0,Ordinary,Alpha,0,0
Bosk Troll,Minion,Earth,5,Ordinary,Alpha,2,9
Cave Trolls,Minion,Earth,0,Ordinary,Alpha,0,0
Conqueror Worm,Minion,Earth,0,Elite,Alpha,0,0
Crown Prince,Minion,Earth,0,Unique,Alpha,0,0
Dalcean Phalanx,Minion,Earth,3,Exceptional,Alpha,3,4
Dwarven Digging Team,Minion,Earth,0,Exceptional,Alpha,0,0
Frontier Settlers,Minion,Earth,0,Exceptional,Alpha,0,0
Gneissgnath Gnomes,Minion,Earth,0,Exceptional,Alpha,0,0
Grey Wolves,Minion,Earth,0,Ordinary,Alpha,0,0
House Arn Bannerman,Minion,Earth,0,Exceptional,Alpha,0,0
King of the Realm,Minion,Earth,0,Unique,Alpha,0,0
Land Surveyor,Minion,Earth,8,Ordinary,Alpha,4,9
Mage Slayer,Minion,Earth,0,Ordinary,Alpha,0,0
Master Tracker,Minion,Earth,0,Elite,Alpha,0,0
Midland Army,Minion,Earth,0,Unique,Alpha,0,0
Miracle Workers,Minion,Earth,0,Ordinary,Alpha,0,0
Monastery Gargoyle,Minion,Earth,0,Exceptional,Alpha,0,0
Monster Hunter,Minion,Earth,0,Exceptional,Alpha,0,0
Mordric Druids,Minion,Earth,0,Elite,Alpha,0,0
Mountain Giant,Minion,Earth,0,Elite,Alpha,0,0
Pudge Butcher,Minion,Earth,11,Exceptional,Alpha,3,17
Queen of Midland,Minion,Earth,0,Unique,Alpha,0,0
Root Spider,Minion,Earth,11,Exceptional,Alpha,3,17
Royal Bodyguard,Minion,Earth,4,Elite,Alpha,2,9
Scent Hounds,Minion,Earth,0,Ordinary,Alpha,0,0
Scourge Zombies,Minion,Earth,0,Ordinary,Alpha,0,0
Shield Maidens,Minion,Earth,1,Exceptional,Alpha,1,4
Silver Valkyries,Minion,Earth,0,Elite,Alpha,0,0
Sirian Templar,Minion,Earth,0,Exceptional,Alpha,0,0
Sisters of Silence,Minion,Earth,0,Elite,Alpha,0,0
Slumbering Giantess,Minion,Earth,6,Exceptional,Alpha,3,9
Squirming Mass,Minion,Earth,0,Elite,Alpha,0,0
