Name,Type,Total_count_of_card,Decks_with_card,Percentage
Apprentice Wizard,Minion,63,19,29
Blood Ravens,Minion,4,1,2
Candlemas Monks,Minion,0,0,0
Cloud Spirit,Minion,8,3,5
Daperyll Vampire,Minion,22,11,17
Dead of Night Demon,Minion,2,1,2
East-West Dragon,Minion,0,0,0
Grandmaster Wizard,Minion,39,22,33
Grim Reaper,Minion,15,15,23
Gyre Hippogriffs,Minion,28,12,18
Haast Eagle,Minion,2,1,2
Headless Haunt,Minion,15,7,11
Highland Clansmen,Minion,4,3,5
Highland Falconer,Minion,17,9,14
Highland Princess,Minion,20,20,30
Hounds of Ondaros,Minion,12,8,12
Kite Archer,Minion,1,1,2
Lord of the Void,Minion,3,3,5
Men of Leng,Minion,5,2,3
Midnight Rogue,Minion,2,1,2
Moon Clan Werewolf,Minion,2,1,2
Nightmare,Minion,4,3,5
Nimbus Jinn,Minion,17,12,18
Palliburrie Bats,Minion,22,9,14
Peregrine Apparition,Minion,1,1,2
Phantasmal Shade,Minion,5,3,5
Phantom Steed,Minion,0,0,0
Phase Assassin,Minion,21,8,12
Plumed Pegasus,Minion,4,2,3
Puppet Master,Minion,0,0,0
Recurring Specter,Minion,0,0,0
Riddle Sphinx,Minion,1,1,2
Roaming Monster,Minion,2,1,2
Skirmishers of Mu,Minion,19,8,12
Sky Baron,Minion,0,0,0
Sling Pixies,Minion,5,3,5
Snow Leopard,Minion,1,1,2
Spectral Stalker,Minion,15,5,8
Spire Lich,Minion,4,2,3
Ultimate Horror,Minion,1,1,2
Vril Revenant,Minion,2,2,3
Wind Sylph,Minion,1,1,2
Witherwing Hero,Minion,4,4,6
Zephyranne Airship,Minion,2,2,3
Blink,Magic,93,37,56
Browse,Magic,11,11,17
Chain Lightning,Magic,9,6,9
Chaos Twister,Magic,11,8,12
Disenchant,Magic,31,22,33
Dream-Quest,Magic,2,2,3
Fade,Magic,11,5,8
Flanking Maneuver,Magic,2,1,2
Grapple Shot,Magic,98,30,45
Lightning Bolt,Magic,82,38,58
Mortality,Magic,0,0,0
Occult Ritual,Magic,0,0,0
Psionic Blast,Magic,0,0,0
Rain of Arrows,Magic,0,0,0
Raise Dead,Magic,5,2,3
Recall,Magic,0,0,0
Telekinesis,Magic,3,2,3
Teleport,Magic,14,7,11
Unlikely Alliance,Magic,2,1,2
Waypoint Portal,Magic,2,1,2
Whirling Blades,Magic,13,8,12
Windblast,Magic,1,1,2
Evil Presence,Aura,2,1,2
Summoning Sphere,Aura,25,12,18
Thunderstorm,Aura,23,10,15
Wall of Air,Aura,0,0,0
Albespine Pikemen,Minion,3,1,2
Alvalinne Dryads,Minion,3,2,3
Amazon Warriors,Minion,11,7,11
Atlas Wanderers,Minion,16,9,14
Autumn Unicorn,Minion,37,14,21
Belmotte Longbowmen,Minion,2,1,2
Bone Rabble,Minion,0,0,0
Bosk Troll,Minion,28,10,15
Cave Trolls,Minion,3,2,3
Conqueror Worm,Minion,10,6,9
