Deck,Category,Name,Quantity,Cost
Enchantress Control,Avatar,Enchantress,1,
Enchantress Control,Artifact,Philosophers Stone,1,1
Enchantress Control,Artifact,Amethyst Core,1,1
Enchantress Control,Artifact,Aquamarine Core,1,1
Enchantress Control,Artifact,Mix Ignis,2,1
Enchantress Control,Artifact,Ruby Core,1,1
Enchantress Control,Artifact,Rolling Boulder,1,4
Enchantress Control,Minion,Highland Princess,1,2
Enchantress Control,Minion,Apprentice Wizard,4,3
Enchantress Control,Minion,Selfsame Simulacrum,2,4
Enchantress Control,Minion,Grandmaster Wizard,2,6
Enchantress Control,Minion,Death Dealer,1,7
Enchantress Control,Site,Oasis,3,
Enchantress Control,Site,River of Flame,1,
Enchantress Control,Site,Dark Tower,2,
Enchantress Control,Site,Lone Tower,1,
Enchantress Control,Site,Gothic Tower,1,
Enchantress Control,Site,Ruins,3,
Enchantress Control,Site,Lighthouse,3,
Enchantress Control,Site,Floodplain,2,
Enchantress Control,Site,Pillar of Zeiros,1,
Enchantress Control,Site,Mirror Realm,1,
Enchantress Control,Site,Remote Desert,2,
Enchantress Control,Magic,Twist of Fate,1,
Enchantress Control,Magic,Riptide,1,2
Enchantress Control,Magic,Firebolts,2,2
Enchantress Control,Magic,Blink,2,2
Enchantress Control,Magic,Drown,1,3
Enchantress Control,Magic,Infiltrate,2,4
Enchantress Control,Magic,Chaos Twister,1,4
Enchantress Control,Magic,Pact with the Devil,1,4
Enchantress Control,Magic,Poison Nova,1,5
Enchantress Control,Magic,Major Explosion,2,7
Enchantress Control,Aura,Wildfire,3,4
Enchantress Control,Aura,Thunderstorm,3,4
Enchantress Control,Aura,Atlantean Fate,1,5
Enchantress Control,Aura,Abundance,2,5
Enchantress Control,Sideboard,Quagmire,1,
Enchantress Control,Sideboard,Sirocco Scorpions,4,2
Enchantress Control,Sideboard,Silence,1,3
Enchantress Control,Sideboard,Disintegrate,1,3
Enchantress Control,Sideboard,Drought,2,4
Enchantress Control,Sideboard,Poison Nova,1,5
Deathspeaker - League Championship,Avatar,Deathspeaker,1,
Deathspeaker - League Championship,Artifact,Philosophers Stone,1,1
Deathspeaker - League Championship,Artifact,Amethyst Core,1,1
Deathspeaker - League Championship,Artifact,Ruby Core,1,1
Deathspeaker - League Championship,Artifact,Aquamarine Core,1,1
Deathspeaker - League Championship,Artifact,Onyx Core,1,1
Deathspeaker - League Championship,Minion,Vile Imp,4,2
Deathspeaker - League Championship,Minion,Land Surveyor,4,2
Deathspeaker - League Championship,Minion,Highland Princess,1,2
Deathspeaker - League Championship,Minion,Apprentice Wizard,2,3
Deathspeaker - League Championship,Minion,Fey Changeling,3,3
Deathspeaker - League Championship,Minion,Ruler of Thul,1,4
Deathspeaker - League Championship,Minion,Grandmaster Wizard,2,6
Deathspeaker - League Championship,Minion,Wraetannis Titan,1,7
Deathspeaker - League Championship,Site,Dark Tower,1,
Deathspeaker - League Championship,Site,Gothic Tower,1,
Deathspeaker - League Championship,Site,Ruins,3,
Deathspeaker - League Championship,Site,Boneyard,1,
Deathspeaker - League Championship,Site,Steppe,2,
Deathspeaker - League Championship,Site,Windmill,3,
Deathspeaker - League Championship,Site,River of Flame,1,
Deathspeaker - League Championship,Site,The Colour Out of Space,1,
Deathspeaker - League Championship,Site,Floodplain,3,
Deathspeaker - League Championship,Site,Bedrock,1,
Deathspeaker - League Championship,Site,Lighthouse,1,
Deathspeaker - League Championship,Site,Humble Village,1,
Deathspeaker - League Championship,Site,Aqueduct,1,
Deathspeaker - League Championship,Magic,Firebolts,3,2
Deathspeaker - League Championship,Magic,Common Sense,4,2
Deathspeaker - League Championship,Magic,Disenchant,1,2
Deathspeaker - League Championship,Magic,Bury,3,3
Deathspeaker - League Championship,Magic,Chaos Twister,2,4
Deathspeaker - League Championship,Magic,Earthquake,2,5
Deathspeaker - League Championship,Aura,Summoning Sphere,1,1
Deathspeaker - League Championship,Aura,Atlantean Fate,1,5
Deathspeaker - League Championship,Sideboard,Bedrock,2,
Deathspeaker - League Championship,Sideboard,Disenchant,1,2
Deathspeaker - League Championship,Sideboard,Bury,1,3
Deathspeaker - League Championship,Sideboard,Drought,2,4
Deathspeaker - League Championship,Sideboard,Infiltrate,2,4
Deathspeaker - League Championship,Sideboard,Courtesan Thais,1,5
Deathspeaker - League Championship,Sideboard,Wraetannis Titan,1,7
Root Speaker,Avatar,Deathspeaker,1,
Root Speaker,Artifact,Philosophers Stone,1,1
Root Speaker,Artifact,Amethyst Core,1,1
Root Speaker,Artifact,Ruby Core,1,1
Root Speaker,Artifact,Onyx Core,1,1
Root Speaker,Artifact,Angels Egg,2,3
Root Speaker,Artifact,Pendulum of Peril,1,6
Root Speaker,Minion,Land Surveyor,4,2
Root Speaker,Minion,Highland Princess,1,2
Root Speaker,Minion,Vile Imp,1,2
Root Speaker,Minion,Apprentice Wizard,4,3
Root Speaker,Minion,Root Spider,3,3
Root Speaker,Minion,Grandmaster Wizard,2,6
Root Speaker,Minion,Nimbus Jinn,2,6
Root Speaker,Site,Windmill,3,
Root Speaker,Site,Roots of Yggdrasil,1,
Root Speaker,Site,Bedrock,3,
Root Speaker,Site,Sinkhole,2,
Root Speaker,Site,Crossroads,1,
Root Speaker,Site,Gnome Hollows,3,
Root Speaker,Site,Lone Tower,1,
Root Speaker,Site,Gothic Tower,1,
Root Speaker,Site,Dark Tower,1,
Root Speaker,Site,Steppe,1,
Root Speaker,Site,Ruins,3,
Root Speaker,Magic,Divine Healing,2,1
Root Speaker,Magic,Browse,1,1
Root Speaker,Magic,Common Sense,4,2
Root Speaker,Magic,Lightning Bolt,1,2
Root Speaker,Magic,Bury,3,3
Root Speaker,Magic,Scorched Earth,2,3
Root Speaker,Magic,Earthquake,2,5
Root Speaker,Magic,Craterize,2,8
Root Speaker,Aura,Summoning Sphere,2,1
Root Speaker,Sideboard,Vile Imp,2,2
Root Speaker,Sideboard,Disenchant,1,2
Root Speaker,Sideboard,Dispel,1,2
Root Speaker,Sideboard,Firebolts,1,2
Root Speaker,Sideboard,Infiltrate,2,4
Root Speaker,Sideboard,Clamor of Harpies,1,4
Root Speaker,Sideboard,Chaos Twister,1,4
Root Speaker,Sideboard,Wraetannis Titan,1,7
AoE ToC,Avatar,Avatar of Earth,1,
AoE ToC,Artifact,Philosophers Stone,1,1
AoE ToC,Minion,Autumn Unicorn,3,3
AoE ToC,Minion,Root Spider,2,3
AoE ToC,Minion,Pudge Butcher,3,4
AoE ToC,Minion,Dalcean Phalanx,2,4
AoE ToC,Minion,Royal Bodyguard,1,4
AoE ToC,Minion,Atlas Wanderers,2,5
AoE ToC,Minion,Daperyll Vampire,2,5
AoE ToC,Site,Watchtower,2,
AoE ToC,Site,Dark Tower,1,
AoE ToC,Site,Gothic Tower,1,
AoE ToC,Site,Lone Tower,1,
AoE ToC,Site,Windmill,3,
AoE ToC,Site,Humble Village,4,
AoE ToC,Site,Holy Ground,2,
AoE ToC,Site,Pillar of Zeiros,1,
AoE ToC,Site,Rift Valley,2,
AoE ToC,Site,Aqueduct,2,
AoE ToC,Site,Observatory,1,
AoE ToC,Magic,Divine Healing,2,1
AoE ToC,Magic,Blink,3,2
AoE ToC,Magic,Fade,1,2
AoE ToC,Magic,Common Sense,3,2
AoE ToC,Magic,Lightning Bolt,2,2
AoE ToC,Magic,Dispel,1,2
AoE ToC,Magic,Grapple Shot,4,3
AoE ToC,Magic,Bury,1,3
AoE ToC,Magic,Gigantism,1,4
AoE ToC,Magic,Cave-In,1,4
AoE ToC,Magic,Earthquake,2,5
AoE ToC,Magic,Whirling Blades,1,5
AoE ToC,Aura,Crusade,1,2
AoE ToC,Aura,Entangle Terrain,1,4
AoE ToC,Sideboard,Bedrock,1,
AoE ToC,Sideboard,Divine Healing,1,1
AoE ToC,Sideboard,Dispel,1,2
AoE ToC,Sideboard,Grim Reaper,1,2
AoE ToC,Sideboard,Highland Princess,1,2
AoE ToC,Sideboard,Recall,1,2
AoE ToC,Sideboard,Teleport,1,2
AoE ToC,Sideboard,Blink,1,2
AoE ToC,Sideboard,Chaos Twister,1,4
AoE ToC,Sideboard,Whirling Blades,1,5
Attacking Auras,Avatar,Enchantress,1,
Attacking Auras,Artifact,Philosophers Stone,1,1
Attacking Auras,Artifact,Torshammar Trinket,2,1
Attacking Auras,Artifact,Land Deed,1,4
Attacking Auras,Artifact,Chains of Prometheus,2,4
Attacking Auras,Minion,Highland Princess,1,2
Attacking Auras,Minion,Fey Changeling,2,3
Attacking Auras,Minion,Selfsame Simulacrum,2,4
Attacking Auras,Site,Dark Tower,1,
Attacking Auras,Site,Gothic Tower,2,
Attacking Auras,Site,Lone Tower,1,
Attacking Auras,Site,Ruins,3,
Attacking Auras,Site,Lighthouse,2,
Attacking Auras,Site,Oasis,3,
Attacking Auras,Site,Undertow,2,
Attacking Auras,Site,Watchtower,1,
Attacking Auras,Site,Floodplain,3,
Attacking Auras,Site,Imperial Road,2,
Attacking Auras,Magic,Riptide,2,2
Attacking Auras,Magic,Spin Attack,4,3
Attacking Auras,Magic,Leap Attack,3,4
Attacking Auras,Magic,Infiltrate,2,4
Attacking Auras,Aura,Wall of Ice,4,2
Attacking Auras,Aura,Silence,2,3
Attacking Auras,Aura,Thunderstorm,3,4
Attacking Auras,Aura,Wildfire,3,4
Attacking Auras,Aura,Flood,3,4
Attacking Auras,Aura,Atlantean Fate,1,5
Attacking Auras,Aura,Abundance,2,5
Attacking Auras,Sideboard,Grim Reaper,1,2
Attacking Auras,Sideboard,Sleep,4,2
Attacking Auras,Sideboard,Backstab,2,2
Attacking Auras,Sideboard,Drought,3,4
Avatar of Fire: Infernal Oddities,Avatar,Avatar of Fire,1,
