Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,16,Ordinary,Alpha,3,10
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,2,Elite,Alpha,2,2
Cloud Spirit,Minion,Air,4,Ordinary,Alpha,4,2
Daperyll Vampire,Minion,Air,31,Exceptional,Alpha,3,22
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,34,Elite,Alpha,2,35
Grim Reaper,Minion,Air,3,Unique,Alpha,1,6
Gyre Hippogriffs,Minion,Air,37,Exceptional,Alpha,3,27
Haast Eagle,Minion,Air,3,Exceptional,Alpha,3,2
Headless Haunt,Minion,Air,19,Exceptional,Alpha,3,14
Highland Clansmen,Minion,Air,4,Ordinary,Alpha,4,2
Highland Falconer,Minion,Air,12,Elite,Alpha,2,12
Highland Princess,Minion,Air,24,Unique,Alpha,1,47
Hounds of Ondaros,Minion,Air,7,Elite,Alpha,2,8
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,0,Ordinary,Alpha,0,0
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,8,Elite,Alpha,2,8
Palliburrie Bats,Minion,Air,12,Ordinary,Alpha,2,10
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,6,Exceptional,Alpha,3,4
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,18,Exceptional,Alpha,3,12
Plumed Pegasus,Minion,Air,11,Ordinary,Alpha,4,6
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,2,Elite,Alpha,2,2
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,3,Exceptional,Alpha,3,2
Sky Baron,Minion,Air,0,Elite,Alpha,0,0
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,0,Ordinary,Alpha,0,0
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,0,Elite,Alpha,0,0
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,2,Unique,Alpha,1,4
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,72,Ordinary,Alpha,3,49
Browse,Magic,Air,16,Unique,Alpha,1,31
Chain Lightning,Magic,Air,3,Exceptional,Alpha,3,2
Chaos Twister,Magic,Air,10,Elite,Alpha,2,12
Disenchant,Magic,Air,26,Ordinary,Alpha,1,43
Dream-Quest,Magic,Air,3,Unique,Alpha,1,6
Fade,Magic,Air,0,Ordinary,Alpha,0,0
