Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,3,Ordinary,Alpha,3,12
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,2,Elite,Alpha,2,12
Cloud Spirit,Minion,Air,0,Ordinary,Alpha,0,0
Daperyll Vampire,Minion,Air,5,Exceptional,Alpha,2,38
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,6,Elite,Alpha,2,38
Grim Reaper,Minion,Air,0,Unique,Alpha,0,0
Gyre Hippogriffs,Minion,Air,3,Exceptional,Alpha,3,12
Haast Eagle,Minion,Air,0,Exceptional,Alpha,0,0
Headless Haunt,Minion,Air,3,Exceptional,Alpha,3,12
Highland Clansmen,Minion,Air,0,Ordinary,Alpha,0,0
Highland Falconer,Minion,Air,4,Elite,Alpha,2,25
Highland Princess,Minion,Air,5,Unique,Alpha,1,62
Hounds of Ondaros,Minion,Air,2,Elite,Alpha,2,12
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,0,Ordinary,Alpha,0,0
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,2,Elite,Alpha,2,12
Palliburrie Bats,Minion,Air,2,Ordinary,Alpha,2,12
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,0,Exceptional,Alpha,0,0
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,3,Exceptional,Alpha,3,12
Plumed Pegasus,Minion,Air,4,Ordinary,Alpha,4,12
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,0,Elite,Alpha,0,0
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,0,Exceptional,Alpha,0,0
Sky Baron,Minion,Air,0,Elite,Alpha,0,0
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,0,Ordinary,Alpha,0,0
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,0,Elite,Alpha,0,0
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,0,Unique,Alpha,0,0
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,14,Ordinary,Alpha,2,75
Browse,Magic,Air,2,Unique,Alpha,1,25
Chain Lightning,Magic,Air,0,Exceptional,Alpha,0,0
Chaos Twister,Magic,Air,0,Elite,Alpha,0,0
Disenchant,Magic,Air,6,Ordinary,Alpha,1,75
Dream-Quest,Magic,Air,0,Unique,Alpha,0,0
Fade,Magic,Air,0,Ordinary,Alpha,0,0
Flanking Maneuver,Magic,Air,0,Exceptional,Alpha,0,0
Grapple Shot,Magic,Air,13,Ordinary,Alpha,3,50
Lightning Bolt,Magic,Air,7,Ordinary,Alpha,2,50
Mortality,Magic,Air,0,Ordinary,Alpha,0,0
Occult Ritual,Magic,Air,0,Unique,Alpha,0,0
Psionic Blast,Magic,Air,0,Exceptional,Alpha,0,0
Rain of Arrows,Magic,Air,0,Ordinary,Alpha,0,0
Raise Dead,Magic,Air,0,Exceptional,Alpha,0,0
Recall,Magic,Air,0,Exceptional,Alpha,0,0
Telekinesis,Magic,Air,0,Exceptional,Alpha,0,0
Teleport,Magic,Air,0,Ordinary,Alpha,0,0
Unlikely Alliance,Magic,Air,1,Elite,Alpha,1,12
Waypoint Portal,Magic,Air,0,Exceptional,Alpha,0,0
Whirling Blades,Magic,Air,3,Exceptional,Alpha,2,25
Windblast,Magic,Air,0,Exceptional,Alpha,0,0
Evil Presence,Aura,Air,0,Exceptional,Alpha,0,0
Summoning Sphere,Aura,Air,5,Exceptional,Alpha,2,25
Thunderstorm,Aura,Air,0,Exceptional,Alpha,0,0
Wall of Air,Aura,Air,0,Ordinary,Alpha,0,0
Albespine Pikemen,Minion,Earth,0,Exceptional,Alpha,0,0
Alvalinne Dryads,Minion,Earth,0,Ordinary,Alpha,0,0
Amazon Warriors,Minion,Earth,0,Ordinary,Alpha,0,0
Atlas Wanderers,Minion,Earth,1,Elite,Alpha,1,12
Autumn Unicorn,Minion,Earth,6,Exceptional,Alpha,3,25
Belmotte Longbowmen,Minion,Earth,0,Ordinary,Alpha,0,0
Bone Rabble,Minion,Earth,0,Ordinary,Alpha,0,0
Bosk Troll,Minion,Earth,6,Ordinary,Alpha,3,25
Cave Trolls,Minion,Earth,0,Ordinary,Alpha,0,0
Conqueror Worm,Minion,Earth,0,Elite,Alpha,0,0
Crown Prince,Minion,Earth,0,Unique,Alpha,0,0
Dalcean Phalanx,Minion,Earth,2,Exceptional,Alpha,2,12
Dwarven Digging Team,Minion,Earth,0,Exceptional,Alpha,0,0
Frontier Settlers,Minion,Earth,0,Exceptional,Alpha,0,0
Gneissgnath Gnomes,Minion,Earth,0,Exceptional,Alpha,0,0
Grey Wolves,Minion,Earth,0,Ordinary,Alpha,0,0
House Arn Bannerman,Minion,Earth,0,Exceptional,Alpha,0,0
King of the Realm,Minion,Earth,0,Unique,Alpha,0,0
Land Surveyor,Minion,Earth,8,Ordinary,Alpha,4,25
Mage Slayer,Minion,Earth,0,Ordinary,Alpha,0,0
Master Tracker,Minion,Earth,0,Elite,Alpha,0,0
Midland Army,Minion,Earth,0,Unique,Alpha,0,0
Miracle Workers,Minion,Earth,0,Ordinary,Alpha,0,0
Monastery Gargoyle,Minion,Earth,0,Exceptional,Alpha,0,0
Monster Hunter,Minion,Earth,0,Exceptional,Alpha,0,0
Mordric Druids,Minion,Earth,0,Elite,Alpha,0,0
Mountain Giant,Minion,Earth,0,Elite,Alpha,0,0
Pudge Butcher,Minion,Earth,3,Exceptional,Alpha,3,12
Queen of Midland,Minion,Earth,0,Unique,Alpha,0,0
Root Spider,Minion,Earth,11,Exceptional,Alpha,2,62
Royal Bodyguard,Minion,Earth,0,Elite,Alpha,0,0
Scent Hounds,Minion,Earth,0,Ordinary,Alpha,0,0
Scourge Zombies,Minion,Earth,0,Ordinary,Alpha,0,0
Shield Maidens,Minion,Earth,3,Exceptional,Alpha,3,12
Silver Valkyries,Minion,Earth,0,Elite,Alpha,0,0
Sirian Templar,Minion,Earth,0,Exceptional,Alpha,0,0
Sisters of Silence,Minion,Earth,0,Elite,Alpha,0,0
Slumbering Giantess,Minion,Earth,3,Exceptional,Alpha,3,12
Squirming Mass,Minion,Earth,0,Elite,Alpha,0,0
Stone-gaze Gorgons,Minion,Earth,0,Elite,Alpha,0,0
Tragedy Worrywart,Minion,Earth,0,Exceptional,Alpha,0,0
Vanguard Knights,Minion,Earth,2,Exceptional,Alpha,2,12
Wicked Witch,Minion,Earth,0,Elite,Alpha,0,0
Wild Boars,Minion,Earth,0,Ordinary,Alpha,0,0
Wraetannis Titan,Minion,Earth,1,Elite,Alpha,1,12
Yourke Crossbowmen,Minion,Earth,0,Exceptional,Alpha,0,0
Assorted Animals,Magic,Earth,0,Elite,Alpha,0,0
Border Militia,Magic,Earth,1,Ordinary,Alpha,1,12
Bury,Magic,Earth,8,Ordinary,Alpha,1,75
Call to War,Magic,Earth,0,Exceptional,Alpha,0,0
Cave-In,Magic,Earth,0,Exceptional,Alpha,0,0
Common Sense,Magic,Earth,16,Ordinary,Alpha,3,75
Craterize,Magic,Earth,1,Elite,Alpha,1,12
Dispel,Magic,Earth,5,Ordinary,Alpha,1,62
Divine Healing,Magic,Earth,3,Exceptional,Alpha,3,12
Earthquake,Magic,Earth,9,Elite,Alpha,2,62
Exorcism,Magic,Earth,0,Ordinary,Alpha,0,0
Gigantism,Magic,Earth,3,Unique,Alpha,1,38
Minecart Madness,Magic,Earth,0,Exceptional,Alpha,0,0
Overpower,Magic,Earth,0,Ordinary,Alpha,0,0
Shield Wall,Magic,Earth,0,Exceptional,Alpha,0,0
Star-seeds of Uhr,Magic,Earth,0,Unique,Alpha,0,0
Unravel,Magic,Earth,0,Ordinary,Alpha,0,0
Crusade,Aura,Earth,1,Unique,Alpha,1,12
Entangle Terrain,Aura,Earth,0,Ordinary,Alpha,0,0
Rest in Peace,Aura,Earth,0,Elite,Alpha,0,0
Ancient Dragon,Minion,Fire,0,Elite,Alpha,0,0
Aramos Mercenaries,Minion,Fire,5,Ordinary,Alpha,2,25
Askelon Phoenix,Minion,Fire,0,Elite,Alpha,0,0
Awakened Mummies,Minion,Fire,0,Exceptional,Alpha,0,0
Azuridge Caravan,Minion,"Air, Earth, Fire, None, Water",0,Ordinary,Alpha,0,0
Bane Widow,Minion,Fire,0,Exceptional,Alpha,0,0
Beast of Burden,Minion,Fire,0,Ordinary,Alpha,0,0
Bull Demons of Adum,Minion,Fire,0,Elite,Alpha,0,0
Cauldron Crones,Minion,Fire,0,Ordinary,Alpha,0,0
Cerberus in Chains,Minion,Fire,1,Unique,Alpha,1,12
Clamor of Harpies,Minion,Fire,0,Exceptional,Alpha,0,0
Colicky Dragonettes,Minion,Fire,3,Exceptional,Alpha,3,12
Courtesan Thais,Minion,Fire,2,Unique,Alpha,1,25
Death Dealer,Minion,Fire,2,Unique,Alpha,1,25
Doomsday Prophet,Minion,Fire,0,Unique,Alpha,0,0
Escyllion Cyclops,Minion,Fire,0,Exceptional,Alpha,0,0
Far East Assassin,Minion,Fire,0,Elite,Alpha,0,0
Grosse Poltergeist,Minion,Fire,0,Elite,Alpha,0,0
Hillock Basilisk,Minion,Fire,0,Exceptional,Alpha,0,0
Infernal Legion,Minion,Fire,0,Elite,Alpha,0,0
Karkemish Chimera,Minion,Fire,0,Elite,Alpha,0,0
Lava Salamander,Minion,Fire,0,Exceptional,Alpha,0,0
Maze Minotaur,Minion,Fire,0,Elite,Alpha,0,0
Ogre Goons,Minion,Fire,0,Ordinary,Alpha,0,0
Outback Strider,Minion,Fire,0,Exceptional,Alpha,0,0
Panorama Manticore,Minion,Fire,0,Elite,Alpha,0,0
Petrosian Cavalry,Minion,Fire,2,Ordinary,Alpha,2,12
Pit Vipers,Minion,Fire,0,Ordinary,Alpha,0,0
Quarrelsome Kobolds,Minion,Fire,6,Exceptional,Alpha,3,25
Raal Dromedary,Minion,Fire,0,Ordinary,Alpha,0,0
Rimland Nomads,Minion,Fire,0,Ordinary,Alpha,0,0
Sacred Scarabs,Minion,Fire,3,Ordinary,Alpha,3,12
Sand Worm,Minion,Fire,0,Ordinary,Alpha,0,0
Scavenging Fiend,Minion,Fire,0,Exceptional,Alpha,0,0
Seasoned Sellsword,Minion,Fire,0,Elite,Alpha,0,0
Sirocco Scorpions,Minion,Fire,0,Ordinary,Alpha,0,0
Swiven Scout,Minion,Fire,0,Exceptional,Alpha,0,0
Tvinnax Berserker,Minion,Fire,0,Exceptional,Alpha,0,0
Vile Imp,Minion,Fire,14,Ordinary,Alpha,4,50
Wayfaring Pilgrim,Minion,Fire,0,Exceptional,Alpha,0,0
Wills-o'-the-Wisp,Minion,Fire,0,Exceptional,Alpha,0,0
Backstab,Magic,Fire,0,Exceptional,Alpha,0,0
Blaze,Magic,Fire,5,Exceptional,Alpha,2,25
Boil,Magic,Fire,0,Ordinary,Alpha,0,0
Cone of Flame,Magic,Fire,1,Exceptional,Alpha,1,12
Critical Strike,Magic,Fire,0,Ordinary,Alpha,0,0
Disintegrate,Magic,Fire,0,Elite,Alpha,0,0
Fireball,Magic,Fire,2,Exceptional,Alpha,2,12
Firebolts,Magic,Fire,6,Ordinary,Alpha,2,38
Flame Wave,Magic,Fire,0,Elite,Alpha,0,0
Heat Ray,Magic,Fire,1,Ordinary,Alpha,1,12
Immolation,Magic,Fire,0,Unique,Alpha,0,0
Incinerate,Magic,Fire,0,Ordinary,Alpha,0,0
Infiltrate,Magic,Fire,1,Elite,Alpha,1,12
Leap Attack,Magic,Fire,0,Exceptional,Alpha,0,0
Mad Dash,Magic,Fire,0,Ordinary,Alpha,0,0
Major Explosion,Magic,Fire,1,Elite,Alpha,1,12
