Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,15,Ordinary,Alpha,4,8
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,4,Elite,Alpha,2,4
Cloud Spirit,Minion,Air,4,Ordinary,Alpha,4,2
Daperyll Vampire,Minion,Air,25,Exceptional,Alpha,3,17
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,32,Elite,Alpha,2,33
Grim Reaper,Minion,Air,3,Unique,Alpha,1,6
Gyre Hippogriffs,Minion,Air,38,Exceptional,Alpha,3,29
Haast Eagle,Minion,Air,3,Exceptional,Alpha,3,2
Headless Haunt,Minion,Air,19,Exceptional,Alpha,3,13
Highland Clansmen,Minion,Air,4,Ordinary,Alpha,4,2
Highland Falconer,Minion,Air,14,Elite,Alpha,2,13
Highland Princess,Minion,Air,25,Unique,Alpha,1,48
Hounds of Ondaros,Minion,Air,5,Elite,Alpha,2,6
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,0,Ordinary,Alpha,0,0
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,8,Elite,Alpha,2,8
Palliburrie Bats,Minion,Air,14,Ordinary,Alpha,2,12
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,6,Exceptional,Alpha,3,4
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,18,Exceptional,Alpha,3,12
Plumed Pegasus,Minion,Air,11,Ordinary,Alpha,4,6
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,2,Elite,Alpha,2,2
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,3,Exceptional,Alpha,3,2
Sky Baron,Minion,Air,0,Elite,Alpha,0,0
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,0,Ordinary,Alpha,0,0
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,0,Elite,Alpha,0,0
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,2,Unique,Alpha,1,4
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,69,Ordinary,Alpha,3,46
Browse,Magic,Air,15,Unique,Alpha,1,29
Chain Lightning,Magic,Air,3,Exceptional,Alpha,3,2
Chaos Twister,Magic,Air,10,Elite,Alpha,2,12
Disenchant,Magic,Air,26,Ordinary,Alpha,1,42
Dream-Quest,Magic,Air,3,Unique,Alpha,1,6
Fade,Magic,Air,0,Ordinary,Alpha,0,0
Flanking Maneuver,Magic,Air,9,Exceptional,Alpha,2,10
Grapple Shot,Magic,Air,62,Ordinary,Alpha,3,40
Lightning Bolt,Magic,Air,46,Ordinary,Alpha,2,37
Mortality,Magic,Air,0,Ordinary,Alpha,0,0
Occult Ritual,Magic,Air,0,Unique,Alpha,0,0
Psionic Blast,Magic,Air,0,Exceptional,Alpha,0,0
Rain of Arrows,Magic,Air,0,Ordinary,Alpha,0,0
Raise Dead,Magic,Air,3,Exceptional,Alpha,3,2
Recall,Magic,Air,3,Exceptional,Alpha,3,2
Telekinesis,Magic,Air,0,Exceptional,Alpha,0,0
Teleport,Magic,Air,4,Ordinary,Alpha,4,2
Unlikely Alliance,Magic,Air,2,Elite,Alpha,2,2
Waypoint Portal,Magic,Air,0,Exceptional,Alpha,0,0
Whirling Blades,Magic,Air,12,Exceptional,Alpha,2,13
Windblast,Magic,Air,0,Exceptional,Alpha,0,0
Evil Presence,Aura,Air,9,Exceptional,Alpha,2,8
Summoning Sphere,Aura,Air,5,Exceptional,Alpha,2,4
Thunderstorm,Aura,Air,13,Exceptional,Alpha,3,10
Wall of Air,Aura,Air,0,Ordinary,Alpha,0,0
Albespine Pikemen,Minion,Earth,3,Exceptional,Alpha,3,2
Alvalinne Dryads,Minion,Earth,0,Ordinary,Alpha,0,0
Amazon Warriors,Minion,Earth,6,Ordinary,Alpha,2,6
Atlas Wanderers,Minion,Earth,5,Elite,Alpha,2,6
Autumn Unicorn,Minion,Earth,27,Exceptional,Alpha,3,17
Belmotte Longbowmen,Minion,Earth,5,Ordinary,Alpha,2,4
Bone Rabble,Minion,Earth,0,Ordinary,Alpha,0,0
Bosk Troll,Minion,Earth,17,Ordinary,Alpha,2,13
Cave Trolls,Minion,Earth,3,Ordinary,Alpha,2,4
Conqueror Worm,Minion,Earth,0,Elite,Alpha,0,0
Crown Prince,Minion,Earth,0,Unique,Alpha,0,0
Dalcean Phalanx,Minion,Earth,6,Exceptional,Alpha,2,6
Dwarven Digging Team,Minion,Earth,7,Exceptional,Alpha,2,6
Frontier Settlers,Minion,Earth,8,Exceptional,Alpha,3,6
Gneissgnath Gnomes,Minion,Earth,3,Exceptional,Alpha,3,2
Grey Wolves,Minion,Earth,0,Ordinary,Alpha,0,0
House Arn Bannerman,Minion,Earth,7,Exceptional,Alpha,2,6
King of the Realm,Minion,Earth,2,Unique,Alpha,1,4
Land Surveyor,Minion,Earth,7,Ordinary,Alpha,4,4
Mage Slayer,Minion,Earth,0,Ordinary,Alpha,0,0
Master Tracker,Minion,Earth,0,Elite,Alpha,0,0
Midland Army,Minion,Earth,0,Unique,Alpha,0,0
Miracle Workers,Minion,Earth,2,Ordinary,Alpha,2,2
Monastery Gargoyle,Minion,Earth,0,Exceptional,Alpha,0,0
Monster Hunter,Minion,Earth,0,Exceptional,Alpha,0,0
Mordric Druids,Minion,Earth,0,Elite,Alpha,0,0
Mountain Giant,Minion,Earth,0,Elite,Alpha,0,0
Pudge Butcher,Minion,Earth,27,Exceptional,Alpha,3,17
Queen of Midland,Minion,Earth,0,Unique,Alpha,0,0
Root Spider,Minion,Earth,49,Exceptional,Alpha,3,35
Royal Bodyguard,Minion,Earth,14,Elite,Alpha,2,13
Scent Hounds,Minion,Earth,1,Ordinary,Alpha,1,2
Scourge Zombies,Minion,Earth,0,Ordinary,Alpha,0,0
Shield Maidens,Minion,Earth,16,Exceptional,Alpha,2,13
Silver Valkyries,Minion,Earth,0,Elite,Alpha,0,0
Sirian Templar,Minion,Earth,0,Exceptional,Alpha,0,0
Sisters of Silence,Minion,Earth,0,Elite,Alpha,0,0
Slumbering Giantess,Minion,Earth,6,Exceptional,Alpha,3,4
Squirming Mass,Minion,Earth,0,Elite,Alpha,0,0
Stone-gaze Gorgons,Minion,Earth,2,Elite,Alpha,2,2
Tragedy Worrywart,Minion,Earth,2,Exceptional,Alpha,2,2
Vanguard Knights,Minion,Earth,2,Exceptional,Alpha,2,2
Wicked Witch,Minion,Earth,2,Elite,Alpha,2,2
Wild Boars,Minion,Earth,5,Ordinary,Alpha,2,4
