Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,0,Ordinary,Alpha,0,0
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,0,Elite,Alpha,0,0
Cloud Spirit,Minion,Air,4,Ordinary,Alpha,4,5
Daperyll Vampire,Minion,Air,12,Exceptional,Alpha,2,23
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,10,Elite,Alpha,2,23
Grim Reaper,Minion,Air,0,Unique,Alpha,0,0
Gyre Hippogriffs,Minion,Air,15,Exceptional,Alpha,3,23
Haast Eagle,Minion,Air,6,Exceptional,Alpha,3,9
Headless Haunt,Minion,Air,9,Exceptional,Alpha,3,14
Highland Clansmen,Minion,Air,0,Ordinary,Alpha,0,0
Highland Falconer,Minion,Air,4,Elite,Alpha,2,9
Highland Princess,Minion,Air,12,Unique,Alpha,1,55
Hounds of Ondaros,Minion,Air,3,Elite,Alpha,2,9
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,4,Ordinary,Alpha,4,5
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,2,Elite,Alpha,2,5
Palliburrie Bats,Minion,Air,6,Ordinary,Alpha,2,14
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,3,Exceptional,Alpha,3,5
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,9,Exceptional,Alpha,3,14
Plumed Pegasus,Minion,Air,8,Ordinary,Alpha,4,9
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,0,Elite,Alpha,0,0
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,3,Exceptional,Alpha,3,5
Sky Baron,Minion,Air,0,Elite,Alpha,0,0
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,0,Ordinary,Alpha,0,0
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,0,Elite,Alpha,0,0
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,2,Unique,Alpha,1,9
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,47,Ordinary,Alpha,3,73
Browse,Magic,Air,7,Unique,Alpha,1,32
Chain Lightning,Magic,Air,2,Exceptional,Alpha,2,5
Chaos Twister,Magic,Air,9,Elite,Alpha,2,23
Disenchant,Magic,Air,11,Ordinary,Alpha,1,36
Dream-Quest,Magic,Air,3,Unique,Alpha,1,14
Fade,Magic,Air,0,Ordinary,Alpha,0,0
Flanking Maneuver,Magic,Air,5,Exceptional,Alpha,2,14
Grapple Shot,Magic,Air,36,Ordinary,Alpha,3,55
Lightning Bolt,Magic,Air,15,Ordinary,Alpha,2,32
Mortality,Magic,Air,0,Ordinary,Alpha,0,0
Occult Ritual,Magic,Air,1,Unique,Alpha,1,5
Psionic Blast,Magic,Air,0,Exceptional,Alpha,0,0
Rain of Arrows,Magic,Air,0,Ordinary,Alpha,0,0
Raise Dead,Magic,Air,0,Exceptional,Alpha,0,0
Recall,Magic,Air,0,Exceptional,Alpha,0,0
Telekinesis,Magic,Air,0,Exceptional,Alpha,0,0
Teleport,Magic,Air,1,Ordinary,Alpha,1,5
Unlikely Alliance,Magic,Air,0,Elite,Alpha,0,0
Waypoint Portal,Magic,Air,0,Exceptional,Alpha,0,0
Whirling Blades,Magic,Air,7,Exceptional,Alpha,2,18
Windblast,Magic,Air,0,Exceptional,Alpha,0,0
Evil Presence,Aura,Air,3,Exceptional,Alpha,3,5
Summoning Sphere,Aura,Air,0,Exceptional,Alpha,0,0
Thunderstorm,Aura,Air,2,Exceptional,Alpha,2,5
Wall of Air,Aura,Air,0,Ordinary,Alpha,0,0
Albespine Pikemen,Minion,Earth,3,Exceptional,Alpha,3,5
Alvalinne Dryads,Minion,Earth,0,Ordinary,Alpha,0,0
Amazon Warriors,Minion,Earth,4,Ordinary,Alpha,4,5
Atlas Wanderers,Minion,Earth,2,Elite,Alpha,2,5
Autumn Unicorn,Minion,Earth,12,Exceptional,Alpha,3,18
Belmotte Longbowmen,Minion,Earth,0,Ordinary,Alpha,0,0
Bone Rabble,Minion,Earth,0,Ordinary,Alpha,0,0
Bosk Troll,Minion,Earth,6,Ordinary,Alpha,3,9
Cave Trolls,Minion,Earth,1,Ordinary,Alpha,1,5
Conqueror Worm,Minion,Earth,0,Elite,Alpha,0,0
Crown Prince,Minion,Earth,1,Unique,Alpha,1,5
Dalcean Phalanx,Minion,Earth,8,Exceptional,Alpha,3,14
Dwarven Digging Team,Minion,Earth,5,Exceptional,Alpha,2,9
Frontier Settlers,Minion,Earth,2,Exceptional,Alpha,2,5
Gneissgnath Gnomes,Minion,Earth,0,Exceptional,Alpha,0,0
Grey Wolves,Minion,Earth,0,Ordinary,Alpha,0,0
House Arn Bannerman,Minion,Earth,3,Exceptional,Alpha,3,5
King of the Realm,Minion,Earth,1,Unique,Alpha,1,5
Land Surveyor,Minion,Earth,0,Ordinary,Alpha,0,0
Mage Slayer,Minion,Earth,0,Ordinary,Alpha,0,0
Master Tracker,Minion,Earth,0,Elite,Alpha,0,0
Midland Army,Minion,Earth,0,Unique,Alpha,0,0
Miracle Workers,Minion,Earth,0,Ordinary,Alpha,0,0
Monastery Gargoyle,Minion,Earth,0,Exceptional,Alpha,0,0
Monster Hunter,Minion,Earth,0,Exceptional,Alpha,0,0
Mordric Druids,Minion,Earth,0,Elite,Alpha,0,0
Mountain Giant,Minion,Earth,0,Elite,Alpha,0,0
Pudge Butcher,Minion,Earth,12,Exceptional,Alpha,3,18
Queen of Midland,Minion,Earth,0,Unique,Alpha,0,0
Root Spider,Minion,Earth,14,Exceptional,Alpha,3,23
Royal Bodyguard,Minion,Earth,6,Elite,Alpha,2,14
Scent Hounds,Minion,Earth,1,Ordinary,Alpha,1,5
Scourge Zombies,Minion,Earth,0,Ordinary,Alpha,0,0
Shield Maidens,Minion,Earth,10,Exceptional,Alpha,2,18
Silver Valkyries,Minion,Earth,0,Elite,Alpha,0,0
Sirian Templar,Minion,Earth,0,Exceptional,Alpha,0,0
Sisters of Silence,Minion,Earth,2,Elite,Alpha,2,5
Slumbering Giantess,Minion,Earth,0,Exceptional,Alpha,0,0
Squirming Mass,Minion,Earth,0,Elite,Alpha,0,0
Stone-gaze Gorgons,Minion,Earth,2,Elite,Alpha,2,5
Tragedy Worrywart,Minion,Earth,1,Exceptional,Alpha,1,5
Vanguard Knights,Minion,Earth,0,Exceptional,Alpha,0,0
Wicked Witch,Minion,Earth,2,Elite,Alpha,2,5
Wild Boars,Minion,Earth,0,Ordinary,Alpha,0,0
Wraetannis Titan,Minion,Earth,0,Elite,Alpha,0,0
Yourke Crossbowmen,Minion,Earth,0,Exceptional,Alpha,0,0
Assorted Animals,Magic,Earth,0,Elite,Alpha,0,0
Border Militia,Magic,Earth,8,Ordinary,Alpha,3,14
Bury,Magic,Earth,12,Ordinary,Alpha,2,36
Call to War,Magic,Earth,2,Exceptional,Alpha,2,5
Cave-In,Magic,Earth,2,Exceptional,Alpha,1,9
Common Sense,Magic,Earth,29,Ordinary,Alpha,3,41
Craterize,Magic,Earth,4,Elite,Alpha,2,9
Dispel,Magic,Earth,7,Ordinary,Alpha,1,23
Divine Healing,Magic,Earth,11,Exceptional,Alpha,3,18
Earthquake,Magic,Earth,12,Elite,Alpha,2,32
Exorcism,Magic,Earth,0,Ordinary,Alpha,0,0
Gigantism,Magic,Earth,5,Unique,Alpha,1,23
Minecart Madness,Magic,Earth,0,Exceptional,Alpha,0,0
Overpower,Magic,Earth,0,Ordinary,Alpha,0,0
Shield Wall,Magic,Earth,0,Exceptional,Alpha,0,0
Star-seeds of Uhr,Magic,Earth,0,Unique,Alpha,0,0
Unravel,Magic,Earth,0,Ordinary,Alpha,0,0
Crusade,Aura,Earth,2,Unique,Alpha,1,9
Entangle Terrain,Aura,Earth,0,Ordinary,Alpha,0,0
Rest in Peace,Aura,Earth,0,Elite,Alpha,0,0
Ancient Dragon,Minion,Fire,0,Elite,Alpha,0,0
Aramos Mercenaries,Minion,Fire,10,Ordinary,Alpha,3,14
Askelon Phoenix,Minion,Fire,2,Elite,Alpha,2,5
Awakened Mummies,Minion,Fire,0,Exceptional,Alpha,0,0
Azuridge Caravan,Minion,"Air, Earth, Fire, None, Water",0,Ordinary,Alpha,0,0
Bane Widow,Minion,Fire,5,Exceptional,Alpha,2,9
Beast of Burden,Minion,Fire,0,Ordinary,Alpha,0,0
Bull Demons of Adum,Minion,Fire,0,Elite,Alpha,0,0
Cauldron Crones,Minion,Fire,2,Ordinary,Alpha,2,5
Cerberus in Chains,Minion,Fire,2,Unique,Alpha,1,9
Clamor of Harpies,Minion,Fire,0,Exceptional,Alpha,0,0
Colicky Dragonettes,Minion,Fire,19,Exceptional,Alpha,3,32
Courtesan Thais,Minion,Fire,4,Unique,Alpha,1,18
Death Dealer,Minion,Fire,2,Unique,Alpha,1,9
Doomsday Prophet,Minion,Fire,0,Unique,Alpha,0,0
Escyllion Cyclops,Minion,Fire,0,Exceptional,Alpha,0,0
Far East Assassin,Minion,Fire,0,Elite,Alpha,0,0
Grosse Poltergeist,Minion,Fire,0,Elite,Alpha,0,0
Hillock Basilisk,Minion,Fire,2,Exceptional,Alpha,2,5
Infernal Legion,Minion,Fire,6,Elite,Alpha,2,18
Karkemish Chimera,Minion,Fire,0,Elite,Alpha,0,0
Lava Salamander,Minion,Fire,0,Exceptional,Alpha,0,0
Maze Minotaur,Minion,Fire,0,Elite,Alpha,0,0
Ogre Goons,Minion,Fire,0,Ordinary,Alpha,0,0
Outback Strider,Minion,Fire,0,Exceptional,Alpha,0,0
Panorama Manticore,Minion,Fire,2,Elite,Alpha,2,5
Petrosian Cavalry,Minion,Fire,4,Ordinary,Alpha,4,5
Pit Vipers,Minion,Fire,0,Ordinary,Alpha,0,0
Quarrelsome Kobolds,Minion,Fire,20,Exceptional,Alpha,3,32
Raal Dromedary,Minion,Fire,0,Ordinary,Alpha,0,0
Rimland Nomads,Minion,Fire,0,Ordinary,Alpha,0,0
Sacred Scarabs,Minion,Fire,5,Ordinary,Alpha,2,9
Sand Worm,Minion,Fire,0,Ordinary,Alpha,0,0
Scavenging Fiend,Minion,Fire,0,Exceptional,Alpha,0,0
Seasoned Sellsword,Minion,Fire,0,Elite,Alpha,0,0
