Name,Type,Rarity,Total_count_of_card,Decks_with_card,Percentage of decks with at least one copy
Apprentice Wizard,Minion,Ordinary,63,19,29
Blood Ravens,Minion,Ordinary,4,1,2
Candlemas Monks,Minion,Elite,0,0,0
Cloud Spirit,Minion,Ordinary,8,3,5
Daperyll Vampire,Minion,Exceptional,22,11,17
Dead of Night Demon,Minion,Ordinary,2,1,2
East-West Dragon,Minion,Elite,0,0,0
Grandmaster Wizard,Minion,Elite,39,22,33
Grim Reaper,Minion,Unique,15,15,23
Gyre Hippogriffs,Minion,Exceptional,28,12,18
Haast Eagle,Minion,Exceptional,2,1,2
Headless Haunt,Minion,Exceptional,15,7,11
Highland Clansmen,Minion,Ordinary,4,3,5
Highland Falconer,Minion,Elite,17,9,14
Highland Princess,Minion,Unique,20,20,30
Hounds of Ondaros,Minion,Elite,12,8,12
Kite Archer,Minion,Exceptional,1,1,2
Lord of the Void,Minion,Unique,3,3,5
Men of Leng,Minion,Ordinary,5,2,3
Midnight Rogue,Minion,Ordinary,2,1,2
Moon Clan Werewolf,Minion,Exceptional,2,1,2
Nightmare,Minion,Elite,4,3,5
Nimbus Jinn,Minion,Elite,17,12,18
Palliburrie Bats,Minion,Ordinary,22,9,14
Peregrine Apparition,Minion,Exceptional,1,1,2
Phantasmal Shade,Minion,Exceptional,5,3,5
Phantom Steed,Minion,Exceptional,0,0,0
Phase Assassin,Minion,Exceptional,21,8,12
Plumed Pegasus,Minion,Ordinary,4,2,3
Puppet Master,Minion,Elite,0,0,0
Recurring Specter,Minion,Elite,0,0,0
Riddle Sphinx,Minion,Elite,1,1,2
Roaming Monster,Minion,Ordinary,2,1,2
Skirmishers of Mu,Minion,Exceptional,19,8,12
Sky Baron,Minion,Elite,0,0,0
Sling Pixies,Minion,Exceptional,5,3,5
Snow Leopard,Minion,Ordinary,1,1,2
Spectral Stalker,Minion,Ordinary,15,5,8
Spire Lich,Minion,Exceptional,4,2,3
Ultimate Horror,Minion,Unique,1,1,2
Vril Revenant,Minion,Elite,2,2,3
Wind Sylph,Minion,Exceptional,1,1,2
Witherwing Hero,Minion,Unique,4,4,6
Zephyranne Airship,Minion,Elite,2,2,3
Blink,Magic,Ordinary,93,37,56
Browse,Magic,Unique,11,11,17
Chain Lightning,Magic,Exceptional,9,6,9
Chaos Twister,Magic,Elite,11,8,12
Disenchant,Magic,Ordinary,31,22,33
Dream-Quest,Magic,Unique,2,2,3
Fade,Magic,Ordinary,11,5,8
Flanking Maneuver,Magic,Exceptional,2,1,2
Grapple Shot,Magic,Ordinary,98,30,45
Lightning Bolt,Magic,Ordinary,82,38,58
Mortality,Magic,Ordinary,0,0,0
