Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,28,Ordinary,Alpha,3,10
Blood Ravens,Minion,Air,3,Ordinary,Alpha,3,1
Candlemas Monks,Minion,Air,3,Elite,Alpha,2,2
Cloud Spirit,Minion,Air,17,Ordinary,Alpha,3,6
Daperyll Vampire,Minion,Air,34,Exceptional,Alpha,2,17
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,26,Elite,Alpha,2,15
Grim Reaper,Minion,Air,5,Unique,Alpha,1,6
Gyre Hippogriffs,Minion,Air,52,Exceptional,Alpha,3,21
Haast Eagle,Minion,Air,16,Exceptional,Alpha,3,7
Headless Haunt,Minion,Air,27,Exceptional,Alpha,3,10
Highland Clansmen,Minion,Air,4,Ordinary,Alpha,4,1
Highland Falconer,Minion,Air,30,Elite,Alpha,2,17
Highland Princess,Minion,Air,25,Unique,Alpha,1,29
Hounds of Ondaros,Minion,Air,12,Elite,Alpha,2,7
Kite Archer,Minion,Air,3,Exceptional,Alpha,3,1
Lord of the Void,Minion,Air,2,Unique,Alpha,1,2
Men of Leng,Minion,Air,2,Ordinary,Alpha,2,1
Midnight Rogue,Minion,Air,2,Ordinary,Alpha,2,1
Moon Clan Werewolf,Minion,Air,6,Exceptional,Alpha,3,2
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,12,Elite,Alpha,2,8
Palliburrie Bats,Minion,Air,39,Ordinary,Alpha,2,18
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,2,Exceptional,Alpha,2,1
Phantom Steed,Minion,Air,1,Exceptional,Alpha,1,1
Phase Assassin,Minion,Air,33,Exceptional,Alpha,3,14
Plumed Pegasus,Minion,Air,20,Ordinary,Alpha,4,6
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,0,Elite,Alpha,0,0
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,15,Exceptional,Alpha,3,6
