Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
13 Treasures of Britain,Artifact,None,1,Unique,Arthurian Legends,1,1
A Midsummer Night's Dream,Aura,Air,0,Unique,Arthurian Legends,0,0
Aaj-kegon Ghost Crabs,Minion,Water,2,Elite,Gothic,2,1
Abaddon Succubus,Minion,Water,76,Elite,Gothic,2,35
Abundance,Aura,Water,9,Elite,Alpha,2,4
Abyssal Assault,Magic,Water,1,Exceptional,Gothic,1,1
Accursed Albatross,Minion,Water,1,Exceptional,Alpha,1,1
Accursed Desert,Site,Fire,7,Ordinary,Gothic,1,6
Accursed Tower,Site,Air,5,Ordinary,Gothic,2,2
Accusation,Magic,Fire,0,Exceptional,Gothic,0,0
Acid Rain,Aura,Water,13,Elite,Gothic,2,7
Active Volcano,Site,Fire,84,Exceptional,Gothic,2,35
Adept Illusionist,Minion,Water,30,Elite,Alpha,2,13
Adtonitum,Minion,Air,1,Unique,Dragonlord,1,1
Aethermoeba,Minion,Air,0,Elite,Gothic,0,0
Aino,Minion,Water,29,Unique,Gothic,1,26
Alabaster Box,Artifact,None,0,Elite,Gothic,0,0
Albespine Pikemen,Minion,Earth,0,Exceptional,Alpha,0,0
Algae Bloom,Site,Water,4,Ordinary,Gothic,1,3
Algor Omphalos,Artifact,None,11,Unique,Gothic,1,10
All Mortals Gone,Magic,Air,1,Unique,Gothic,1,1
All-terrain Vestments,Artifact,None,0,Elite,Alpha,0,0
Altar of Malachai,Site,None,1,Unique,Gothic,1,1
Alvalinne Dryads,Minion,Earth,3,Ordinary,Alpha,3,1
Amazon Warriors,Minion,Earth,0,Ordinary,Alpha,0,0
Amethyst Core,Artifact,None,17,Unique,Alpha,1,15
Amulet of Niniane,Artifact,None,4,Unique,Arthurian Legends,1,4
Ancient Dragon,Minion,Fire,0,Elite,Alpha,0,0
Angel Ascendant,Minion,Earth,0,Elite,Gothic,0,0
Angel's Egg,Artifact,None,8,Elite,Alpha,2,4
Angry Mob,Minion,Fire,7,Ordinary,Gothic,1,4
Animist,Avatar,None,0,,Gothic,0,0
Annual Fair,Site,None,10,Exceptional,Arthurian Legends,2,5
Anui Undine,Minion,Water,4,Exceptional,Alpha,2,2
Apostles of Thamariel,Minion,Earth,2,Unique,Gothic,2,1
Apply Alkahest,Magic,"Earth, Fire, Water, Air",6,Elite,Gothic,2,3
Apprentice Wizard,Minion,Air,14,Ordinary,Alpha,4,4
Aquamarine Core,Artifact,None,16,Unique,Alpha,1,14
Aqueduct,Site,"Earth, Water",20,Exceptional,Alpha,3,6
Aramos Mercenaries,Minion,Fire,0,Ordinary,Alpha,0,0
Arc Lightning,Magic,Air,7,Ordinary,Arthurian Legends,2,3
Arcade of Bones,Artifact,None,0,Elite,Gothic,0,0
Arcane Barrage,Magic,Air,14,Elite,Arthurian Legends,1,10
Archangel Gabriel,Minion,Air,5,Unique,Gothic,1,4
Archangel Michael,Minion,Earth,28,Unique,Gothic,1,24
Archangel Raphael,Minion,Water,29,Unique,Gothic,1,26
Archangel Samael,Minion,Fire,2,Unique,Gothic,1,2
Archimago,Avatar,None,10,,Arthurian Legends,1,9
Arid Desert,Site,Fire,40,Ordinary,Alpha,2,18
Arjaro Exorcist,Minion,Earth,49,Elite,Gothic,2,23
Armageddon,Magic,"Earth, Fire, Water, Air",0,Unique,Gothic,0,0
Army of the Dead,Minion,Earth,1,Unique,Gothic,1,1
Askelon Phoenix,Minion,Fire,6,Elite,Alpha,2,3
Asmodeus,Minion,Fire,6,Unique,Gothic,1,4
Assimilator Snail,Minion,Water,2,Elite,Gothic,1,2
Assorted Animals,Magic,Earth,23,Elite,Alpha,2,12
Astral Alcazar,Site,None,0,Elite,Alpha,0,0
Atlantean Fate,Aura,Water,47,Unique,Alpha,1,42
Atlas Wanderers,Minion,Earth,24,Elite,Alpha,2,13
Attack by Night,Magic,Air,0,Exceptional,Arthurian Legends,0,0
Autumn Bloom,Site,Earth,7,Ordinary,Gothic,2,3
Autumn River,Site,Water,12,Ordinary,Alpha,2,7
Autumn Unicorn,Minion,Earth,59,Exceptional,Alpha,3,18
Avalon,Site,"Earth, Fire, Water, Air",0,Unique,Arthurian Legends,0,0
Avatar of Air,Avatar,None,3,,Alpha,1,3
Avatar of Earth,Avatar,None,0,,Alpha,0,0
Avatar of Fire,Avatar,None,0,,Alpha,0,0
Avatar of Water,Avatar,None,2,,Alpha,1,2
Avenging Angel,Minion,Air,3,Exceptional,Gothic,2,2
Awakened Mummies,Minion,Fire,0,Exceptional,Alpha,0,0
