Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,31,Ordinary,Alpha,4,16
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,0,Elite,Alpha,0,0
Cloud Spirit,Minion,Air,0,Ordinary,Alpha,0,0
Daperyll Vampire,Minion,Air,28,Exceptional,Alpha,3,20
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,28,Elite,Alpha,2,31
Grim Reaper,Minion,Air,0,Unique,Alpha,0,0
Gyre Hippogriffs,Minion,Air,15,Exceptional,Alpha,2,12
Haast Eagle,Minion,Air,0,Exceptional,Alpha,0,0
Headless Haunt,Minion,Air,3,Exceptional,Alpha,3,2
Highland Clansmen,Minion,Air,0,Ordinary,Alpha,0,0
Highland Falconer,Minion,Air,6,Elite,Alpha,2,6
Highland Princess,Minion,Air,18,Unique,Alpha,1,37
Hounds of Ondaros,Minion,Air,6,Elite,Alpha,2,8
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,1,Unique,Alpha,1,2
Men of Leng,Minion,Air,0,Ordinary,Alpha,0,0
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,16,Elite,Alpha,2,18
Palliburrie Bats,Minion,Air,7,Ordinary,Alpha,4,4
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,3,Exceptional,Alpha,3,2
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,5,Exceptional,Alpha,2,4
Plumed Pegasus,Minion,Air,2,Ordinary,Alpha,2,2
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,1,Elite,Alpha,1,2
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,5,Exceptional,Alpha,2,4
Sky Baron,Minion,Air,0,Elite,Alpha,0,0
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,4,Ordinary,Alpha,4,2
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,2,Elite,Alpha,2,2
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,1,Unique,Alpha,1,2
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,42,Ordinary,Alpha,2,35
Browse,Magic,Air,12,Unique,Alpha,1,24
Chain Lightning,Magic,Air,2,Exceptional,Alpha,2,2
Chaos Twister,Magic,Air,5,Elite,Alpha,2,6
Disenchant,Magic,Air,15,Ordinary,Alpha,1,27
Dream-Quest,Magic,Air,3,Unique,Alpha,1,6
Fade,Magic,Air,0,Ordinary,Alpha,0,0
Flanking Maneuver,Magic,Air,3,Exceptional,Alpha,1,6
Grapple Shot,Magic,Air,41,Ordinary,Alpha,3,29
Lightning Bolt,Magic,Air,46,Ordinary,Alpha,2,43
Mortality,Magic,Air,0,Ordinary,Alpha,0,0
Occult Ritual,Magic,Air,0,Unique,Alpha,0,0
Psionic Blast,Magic,Air,0,Exceptional,Alpha,0,0
Rain of Arrows,Magic,Air,0,Ordinary,Alpha,0,0
Raise Dead,Magic,Air,0,Exceptional,Alpha,0,0
Recall,Magic,Air,0,Exceptional,Alpha,0,0
Telekinesis,Magic,Air,1,Exceptional,Alpha,1,2
Teleport,Magic,Air,0,Ordinary,Alpha,0,0
Unlikely Alliance,Magic,Air,0,Elite,Alpha,0,0
Waypoint Portal,Magic,Air,0,Exceptional,Alpha,0,0
Whirling Blades,Magic,Air,12,Exceptional,Alpha,2,12
Windblast,Magic,Air,0,Exceptional,Alpha,0,0
Evil Presence,Aura,Air,4,Exceptional,Alpha,2,4
Summoning Sphere,Aura,Air,8,Exceptional,Alpha,2,10
Thunderstorm,Aura,Air,15,Exceptional,Alpha,3,10
Wall of Air,Aura,Air,0,Ordinary,Alpha,0,0
Albespine Pikemen,Minion,Earth,0,Exceptional,Alpha,0,0
Alvalinne Dryads,Minion,Earth,0,Ordinary,Alpha,0,0
Amazon Warriors,Minion,Earth,4,Ordinary,Alpha,2,4
Atlas Wanderers,Minion,Earth,2,Elite,Alpha,2,2
Autumn Unicorn,Minion,Earth,23,Exceptional,Alpha,3,16
Belmotte Longbowmen,Minion,Earth,0,Ordinary,Alpha,0,0
Bone Rabble,Minion,Earth,0,Ordinary,Alpha,0,0
Bosk Troll,Minion,Earth,14,Ordinary,Alpha,4,8
Cave Trolls,Minion,Earth,2,Ordinary,Alpha,2,2
Conqueror Worm,Minion,Earth,0,Elite,Alpha,0,0
Crown Prince,Minion,Earth,1,Unique,Alpha,1,2
Dalcean Phalanx,Minion,Earth,4,Exceptional,Alpha,2,4
Dwarven Digging Team,Minion,Earth,2,Exceptional,Alpha,2,2
