Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,0,Ordinary,Alpha,0,0
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,0,Elite,Alpha,0,0
Cloud Spirit,Minion,Air,0,Ordinary,Alpha,0,0
Daperyll Vampire,Minion,Air,0,Exceptional,Alpha,0,0
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,2,Elite,Alpha,2,12
Grim Reaper,Minion,Air,0,Unique,Alpha,0,0
Gyre Hippogriffs,Minion,Air,3,Exceptional,Alpha,3,12
Haast Eagle,Minion,Air,0,Exceptional,Alpha,0,0
Headless Haunt,Minion,Air,0,Exceptional,Alpha,0,0
Highland Clansmen,Minion,Air,0,Ordinary,Alpha,0,0
Highland Falconer,Minion,Air,0,Elite,Alpha,0,0
Highland Princess,Minion,Air,0,Unique,Alpha,0,0
Hounds of Ondaros,Minion,Air,0,Elite,Alpha,0,0
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,0,Ordinary,Alpha,0,0
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,1,Elite,Alpha,1,12
Palliburrie Bats,Minion,Air,0,Ordinary,Alpha,0,0
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,0,Exceptional,Alpha,0,0
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,0,Exceptional,Alpha,0,0
Plumed Pegasus,Minion,Air,0,Ordinary,Alpha,0,0
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,0,Elite,Alpha,0,0
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,0,Exceptional,Alpha,0,0
Sky Baron,Minion,Air,0,Elite,Alpha,0,0
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,4,Ordinary,Alpha,4,12
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,0,Elite,Alpha,0,0
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,0,Unique,Alpha,0,0
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,4,Ordinary,Alpha,4,12
Browse,Magic,Air,1,Unique,Alpha,1,12
Chain Lightning,Magic,Air,0,Exceptional,Alpha,0,0
Chaos Twister,Magic,Air,2,Elite,Alpha,2,12
Disenchant,Magic,Air,0,Ordinary,Alpha,0,0
Dream-Quest,Magic,Air,0,Unique,Alpha,0,0
Fade,Magic,Air,0,Ordinary,Alpha,0,0
Flanking Maneuver,Magic,Air,0,Exceptional,Alpha,0,0
Grapple Shot,Magic,Air,0,Ordinary,Alpha,0,0
Lightning Bolt,Magic,Air,7,Ordinary,Alpha,4,25
Mortality,Magic,Air,0,Ordinary,Alpha,0,0
Occult Ritual,Magic,Air,0,Unique,Alpha,0,0
Psionic Blast,Magic,Air,0,Exceptional,Alpha,0,0
Rain of Arrows,Magic,Air,0,Ordinary,Alpha,0,0
Raise Dead,Magic,Air,0,Exceptional,Alpha,0,0
Recall,Magic,Air,0,Exceptional,Alpha,0,0
Telekinesis,Magic,Air,0,Exceptional,Alpha,0,0
Teleport,Magic,Air,0,Ordinary,Alpha,0,0
Unlikely Alliance,Magic,Air,0,Elite,Alpha,0,0
Waypoint Portal,Magic,Air,0,Exceptional,Alpha,0,0
Whirling Blades,Magic,Air,0,Exceptional,Alpha,0,0
Windblast,Magic,Air,0,Exceptional,Alpha,0,0
Evil Presence,Aura,Air,0,Exceptional,Alpha,0,0
Summoning Sphere,Aura,Air,0,Exceptional,Alpha,0,0
Thunderstorm,Aura,Air,0,Exceptional,Alpha,0,0
Wall of Air,Aura,Air,0,Ordinary,Alpha,0,0
Albespine Pikemen,Minion,Earth,0,Exceptional,Alpha,0,0
Alvalinne Dryads,Minion,Earth,0,Ordinary,Alpha,0,0
Amazon Warriors,Minion,Earth,0,Ordinary,Alpha,0,0
Atlas Wanderers,Minion,Earth,0,Elite,Alpha,0,0
Autumn Unicorn,Minion,Earth,0,Exceptional,Alpha,0,0
Belmotte Longbowmen,Minion,Earth,0,Ordinary,Alpha,0,0
Bone Rabble,Minion,Earth,0,Ordinary,Alpha,0,0
Bosk Troll,Minion,Earth,0,Ordinary,Alpha,0,0
Cave Trolls,Minion,Earth,0,Ordinary,Alpha,0,0
Conqueror Worm,Minion,Earth,0,Elite,Alpha,0,0
Crown Prince,Minion,Earth,0,Unique,Alpha,0,0
Dalcean Phalanx,Minion,Earth,0,Exceptional,Alpha,0,0
Dwarven Digging Team,Minion,Earth,0,Exceptional,Alpha,0,0
Frontier Settlers,Minion,Earth,0,Exceptional,Alpha,0,0
Gneissgnath Gnomes,Minion,Earth,0,Exceptional,Alpha,0,0
Grey Wolves,Minion,Earth,0,Ordinary,Alpha,0,0
House Arn Bannerman,Minion,Earth,0,Exceptional,Alpha,0,0
King of the Realm,Minion,Earth,0,Unique,Alpha,0,0
Land Surveyor,Minion,Earth,0,Ordinary,Alpha,0,0
Mage Slayer,Minion,Earth,0,Ordinary,Alpha,0,0
Master Tracker,Minion,Earth,0,Elite,Alpha,0,0
Midland Army,Minion,Earth,0,Unique,Alpha,0,0
Miracle Workers,Minion,Earth,0,Ordinary,Alpha,0,0
Monastery Gargoyle,Minion,Earth,0,Exceptional,Alpha,0,0
Monster Hunter,Minion,Earth,0,Exceptional,Alpha,0,0
Mordric Druids,Minion,Earth,0,Elite,Alpha,0,0
Mountain Giant,Minion,Earth,0,Elite,Alpha,0,0
Pudge Butcher,Minion,Earth,0,Exceptional,Alpha,0,0
Queen of Midland,Minion,Earth,0,Unique,Alpha,0,0
Root Spider,Minion,Earth,6,Exceptional,Alpha,3,25
Royal Bodyguard,Minion,Earth,0,Elite,Alpha,0,0
Scent Hounds,Minion,Earth,0,Ordinary,Alpha,0,0
Scourge Zombies,Minion,Earth,0,Ordinary,Alpha,0,0
Shield Maidens,Minion,Earth,0,Exceptional,Alpha,0,0
Silver Valkyries,Minion,Earth,0,Elite,Alpha,0,0
Sirian Templar,Minion,Earth,0,Exceptional,Alpha,0,0
Sisters of Silence,Minion,Earth,0,Elite,Alpha,0,0
Slumbering Giantess,Minion,Earth,3,Exceptional,Alpha,3,12
Squirming Mass,Minion,Earth,0,Elite,Alpha,0,0
Stone-gaze Gorgons,Minion,Earth,0,Elite,Alpha,0,0
Tragedy Worrywart,Minion,Earth,0,Exceptional,Alpha,0,0
Vanguard Knights,Minion,Earth,0,Exceptional,Alpha,0,0
Wicked Witch,Minion,Earth,0,Elite,Alpha,0,0
Wild Boars,Minion,Earth,0,Ordinary,Alpha,0,0
Wraetannis Titan,Minion,Earth,0,Elite,Alpha,0,0
Yourke Crossbowmen,Minion,Earth,0,Exceptional,Alpha,0,0
Assorted Animals,Magic,Earth,0,Elite,Alpha,0,0
Border Militia,Magic,Earth,0,Ordinary,Alpha,0,0
Bury,Magic,Earth,3,Ordinary,Alpha,2,25
Call to War,Magic,Earth,0,Exceptional,Alpha,0,0
Cave-In,Magic,Earth,0,Exceptional,Alpha,0,0
Common Sense,Magic,Earth,6,Ordinary,Alpha,3,25
Craterize,Magic,Earth,2,Elite,Alpha,2,12
Dispel,Magic,Earth,2,Ordinary,Alpha,1,25
Divine Healing,Magic,Earth,3,Exceptional,Alpha,3,12
Earthquake,Magic,Earth,4,Elite,Alpha,2,25
Exorcism,Magic,Earth,0,Ordinary,Alpha,0,0
Gigantism,Magic,Earth,1,Unique,Alpha,1,12
Minecart Madness,Magic,Earth,0,Exceptional,Alpha,0,0
Overpower,Magic,Earth,0,Ordinary,Alpha,0,0
Shield Wall,Magic,Earth,0,Exceptional,Alpha,0,0
Star-seeds of Uhr,Magic,Earth,0,Unique,Alpha,0,0
Unravel,Magic,Earth,0,Ordinary,Alpha,0,0
Crusade,Aura,Earth,0,Unique,Alpha,0,0
Entangle Terrain,Aura,Earth,0,Ordinary,Alpha,0,0
Rest in Peace,Aura,Earth,0,Elite,Alpha,0,0
Ancient Dragon,Minion,Fire,0,Elite,Alpha,0,0
Aramos Mercenaries,Minion,Fire,0,Ordinary,Alpha,0,0
Askelon Phoenix,Minion,Fire,6,Elite,Alpha,2,38
Awakened Mummies,Minion,Fire,0,Exceptional,Alpha,0,0
Azuridge Caravan,Minion,"Air, Earth, Fire, None, Water",0,Ordinary,Alpha,0,0
Bane Widow,Minion,Fire,0,Exceptional,Alpha,0,0
Beast of Burden,Minion,Fire,0,Ordinary,Alpha,0,0
Bull Demons of Adum,Minion,Fire,0,Elite,Alpha,0,0
Cauldron Crones,Minion,Fire,0,Ordinary,Alpha,0,0
Cerberus in Chains,Minion,Fire,0,Unique,Alpha,0,0
Clamor of Harpies,Minion,Fire,0,Exceptional,Alpha,0,0
Colicky Dragonettes,Minion,Fire,20,Exceptional,Alpha,3,88
Courtesan Thais,Minion,Fire,6,Unique,Alpha,1,75
Death Dealer,Minion,Fire,1,Unique,Alpha,1,12
Doomsday Prophet,Minion,Fire,0,Unique,Alpha,0,0
Escyllion Cyclops,Minion,Fire,0,Exceptional,Alpha,0,0
Far East Assassin,Minion,Fire,0,Elite,Alpha,0,0
Grosse Poltergeist,Minion,Fire,0,Elite,Alpha,0,0
Hillock Basilisk,Minion,Fire,2,Exceptional,Alpha,2,12
Infernal Legion,Minion,Fire,3,Elite,Alpha,2,25
Karkemish Chimera,Minion,Fire,0,Elite,Alpha,0,0
Lava Salamander,Minion,Fire,0,Exceptional,Alpha,0,0
Maze Minotaur,Minion,Fire,0,Elite,Alpha,0,0
Ogre Goons,Minion,Fire,0,Ordinary,Alpha,0,0
Outback Strider,Minion,Fire,0,Exceptional,Alpha,0,0
Panorama Manticore,Minion,Fire,3,Elite,Alpha,2,25
Petrosian Cavalry,Minion,Fire,4,Ordinary,Alpha,4,12
Pit Vipers,Minion,Fire,0,Ordinary,Alpha,0,0
Quarrelsome Kobolds,Minion,Fire,12,Exceptional,Alpha,3,50
Raal Dromedary,Minion,Fire,0,Ordinary,Alpha,0,0
Rimland Nomads,Minion,Fire,0,Ordinary,Alpha,0,0
Sacred Scarabs,Minion,Fire,0,Ordinary,Alpha,0,0
Sand Worm,Minion,Fire,0,Ordinary,Alpha,0,0
Scavenging Fiend,Minion,Fire,0,Exceptional,Alpha,0,0
Seasoned Sellsword,Minion,Fire,0,Elite,Alpha,0,0
