Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
13 Treasures of Britain,Artifact,None,0,Unique,Arthurian Legends,0,0
A Midsummer Night's Dream,Aura,Air,0,Unique,Arthurian Legends,0,0
Aaj-kegon Ghost Crabs,Minion,Water,0,Elite,Gothic,0,0
Abaddon Succubus,Minion,Water,12,Elite,Gothic,2,32
Abundance,Aura,Water,0,Elite,Alpha,0,0
Abyssal Assault,Magic,Water,0,Exceptional,Gothic,0,0
Accursed Albatross,Minion,Water,0,Exceptional,Alpha,0,0
Accursed Desert,Site,Fire,0,Ordinary,Gothic,0,0
Accursed Tower,Site,Air,0,Ordinary,Gothic,0,0
Accusation,Magic,Fire,0,Exceptional,Gothic,0,0
Acid Rain,Aura,Water,0,Elite,Gothic,0,0
Active Volcano,Site,Fire,13,Exceptional,Gothic,3,26
Adept Illusionist,Minion,Water,6,Elite,Alpha,2,16
Adtonitum,Minion,Air,0,Unique,Dragonlord,0,0
Aethermoeba,Minion,Air,0,Elite,Gothic,0,0
Aino,Minion,Water,5,Unique,Gothic,1,26
Alabaster Box,Artifact,None,0,Elite,Gothic,0,0
Albespine Pikemen,Minion,Earth,0,Exceptional,Alpha,0,0
Algae Bloom,Site,Water,1,Ordinary,Gothic,1,5
Algor Omphalos,Artifact,None,4,Unique,Gothic,1,21
All Mortals Gone,Magic,Air,0,Unique,Gothic,0,0
All-terrain Vestments,Artifact,None,0,Elite,Alpha,0,0
Altar of Malachai,Site,None,0,Unique,Gothic,0,0
Alvalinne Dryads,Minion,Earth,0,Ordinary,Alpha,0,0
Amazon Warriors,Minion,Earth,0,Ordinary,Alpha,0,0
Amethyst Core,Artifact,None,5,Unique,Alpha,1,26
Amulet of Niniane,Artifact,None,0,Unique,Arthurian Legends,0,0
Ancient Dragon,Minion,Fire,0,Elite,Alpha,0,0
Angel Ascendant,Minion,Earth,0,Elite,Gothic,0,0
Angel's Egg,Artifact,None,0,Elite,Alpha,0,0
Angry Mob,Minion,Fire,2,Ordinary,Gothic,2,5
