Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,15,Ordinary,Alpha,4,25
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,0,Elite,Alpha,0,0
Cloud Spirit,Minion,Air,0,Ordinary,Alpha,0,0
Daperyll Vampire,Minion,Air,13,Exceptional,Alpha,3,31
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,14,Elite,Alpha,2,44
Grim Reaper,Minion,Air,0,Unique,Alpha,0,0
Gyre Hippogriffs,Minion,Air,6,Exceptional,Alpha,3,12
Haast Eagle,Minion,Air,0,Exceptional,Alpha,0,0
Headless Haunt,Minion,Air,3,Exceptional,Alpha,3,6
Highland Clansmen,Minion,Air,7,Ordinary,Alpha,4,12
Highland Falconer,Minion,Air,7,Elite,Alpha,2,25
Highland Princess,Minion,Air,1,Unique,Alpha,1,6
Hounds of Ondaros,Minion,Air,4,Elite,Alpha,2,12
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,8,Ordinary,Alpha,4,12
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,5,Elite,Alpha,2,19
Palliburrie Bats,Minion,Air,2,Ordinary,Alpha,2,6
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,0,Exceptional,Alpha,0,0
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,9,Exceptional,Alpha,3,19
Plumed Pegasus,Minion,Air,0,Ordinary,Alpha,0,0
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,0,Elite,Alpha,0,0
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,8,Exceptional,Alpha,3,19
Sky Baron,Minion,Air,2,Elite,Alpha,2,6
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,8,Ordinary,Alpha,3,19
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,0,Elite,Alpha,0,0
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,0,Unique,Alpha,0,0
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,27,Ordinary,Alpha,3,62
Browse,Magic,Air,5,Unique,Alpha,1,31
Chain Lightning,Magic,Air,4,Exceptional,Alpha,2,12
Chaos Twister,Magic,Air,0,Elite,Alpha,0,0
Disenchant,Magic,Air,5,Ordinary,Alpha,1,31
Dream-Quest,Magic,Air,0,Unique,Alpha,0,0
Fade,Magic,Air,0,Ordinary,Alpha,0,0
Flanking Maneuver,Magic,Air,0,Exceptional,Alpha,0,0
Grapple Shot,Magic,Air,38,Ordinary,Alpha,3,69
Lightning Bolt,Magic,Air,21,Ordinary,Alpha,2,75
Mortality,Magic,Air,0,Ordinary,Alpha,0,0
Occult Ritual,Magic,Air,0,Unique,Alpha,0,0
Psionic Blast,Magic,Air,0,Exceptional,Alpha,0,0
Rain of Arrows,Magic,Air,0,Ordinary,Alpha,0,0
Raise Dead,Magic,Air,0,Exceptional,Alpha,0,0
Recall,Magic,Air,0,Exceptional,Alpha,0,0
Telekinesis,Magic,Air,0,Exceptional,Alpha,0,0
Teleport,Magic,Air,1,Ordinary,Alpha,1,6
Unlikely Alliance,Magic,Air,0,Elite,Alpha,0,0
Waypoint Portal,Magic,Air,0,Exceptional,Alpha,0,0
Whirling Blades,Magic,Air,7,Exceptional,Alpha,1,31
Windblast,Magic,Air,3,Exceptional,Alpha,3,6
Evil Presence,Aura,Air,0,Exceptional,Alpha,0,0
Summoning Sphere,Aura,Air,6,Exceptional,Alpha,2,19
Thunderstorm,Aura,Air,3,Exceptional,Alpha,3,6
Wall of Air,Aura,Air,0,Ordinary,Alpha,0,0
