Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,3,Ordinary,Alpha,3,3
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,0,Elite,Alpha,0,0
Cloud Spirit,Minion,Air,10,Ordinary,Alpha,3,10
Daperyll Vampire,Minion,Air,16,Exceptional,Alpha,3,19
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,20,Elite,Alpha,2,32
Grim Reaper,Minion,Air,1,Unique,Alpha,1,3
Gyre Hippogriffs,Minion,Air,17,Exceptional,Alpha,2,23
Haast Eagle,Minion,Air,2,Exceptional,Alpha,2,3
Headless Haunt,Minion,Air,18,Exceptional,Alpha,3,19
Highland Clansmen,Minion,Air,0,Ordinary,Alpha,0,0
Highland Falconer,Minion,Air,4,Elite,Alpha,2,6
Highland Princess,Minion,Air,13,Unique,Alpha,1,42
Hounds of Ondaros,Minion,Air,1,Elite,Alpha,1,3
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,2,Unique,Alpha,1,6
Men of Leng,Minion,Air,0,Ordinary,Alpha,0,0
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,4,Elite,Alpha,1,13
Palliburrie Bats,Minion,Air,6,Ordinary,Alpha,3,6
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,2,Exceptional,Alpha,2,3
Phantom Steed,Minion,Air,0,Exceptional,Alpha,0,0
Phase Assassin,Minion,Air,9,Exceptional,Alpha,3,10
Plumed Pegasus,Minion,Air,11,Ordinary,Alpha,4,10
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,0,Elite,Alpha,0,0
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,0,Ordinary,Alpha,0,0
Skirmishers of Mu,Minion,Air,0,Exceptional,Alpha,0,0
Sky Baron,Minion,Air,0,Elite,Alpha,0,0
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,0,Ordinary,Alpha,0,0
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,0,Elite,Alpha,0,0
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,2,Unique,Alpha,1,6
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,47,Ordinary,Alpha,3,55
Browse,Magic,Air,11,Unique,Alpha,1,35
Chain Lightning,Magic,Air,3,Exceptional,Alpha,3,3
Chaos Twister,Magic,Air,1,Elite,Alpha,1,3
Disenchant,Magic,Air,12,Ordinary,Alpha,1,32
Dream-Quest,Magic,Air,1,Unique,Alpha,1,3
Fade,Magic,Air,0,Ordinary,Alpha,0,0
Flanking Maneuver,Magic,Air,13,Exceptional,Alpha,2,26
Grapple Shot,Magic,Air,24,Ordinary,Alpha,3,29
Lightning Bolt,Magic,Air,23,Ordinary,Alpha,2,35
Mortality,Magic,Air,0,Ordinary,Alpha,0,0
Occult Ritual,Magic,Air,0,Unique,Alpha,0,0
Psionic Blast,Magic,Air,0,Exceptional,Alpha,0,0
Rain of Arrows,Magic,Air,0,Ordinary,Alpha,0,0
Raise Dead,Magic,Air,0,Exceptional,Alpha,0,0
Recall,Magic,Air,0,Exceptional,Alpha,0,0
Telekinesis,Magic,Air,0,Exceptional,Alpha,0,0
Teleport,Magic,Air,4,Ordinary,Alpha,4,3
Unlikely Alliance,Magic,Air,0,Elite,Alpha,0,0
Waypoint Portal,Magic,Air,0,Exceptional,Alpha,0,0
Whirling Blades,Magic,Air,2,Exceptional,Alpha,1,6
Windblast,Magic,Air,0,Exceptional,Alpha,0,0
Evil Presence,Aura,Air,3,Exceptional,Alpha,3,3
Summoning Sphere,Aura,Air,2,Exceptional,Alpha,2,3
Thunderstorm,Aura,Air,3,Exceptional,Alpha,3,3
Wall of Air,Aura,Air,0,Ordinary,Alpha,0,0
Albespine Pikemen,Minion,Earth,0,Exceptional,Alpha,0,0
Alvalinne Dryads,Minion,Earth,0,Ordinary,Alpha,0,0
Amazon Warriors,Minion,Earth,0,Ordinary,Alpha,0,0
