Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
13 Treasures of Britain,Artifact,None,0,Unique,Arthurian Legends,0,0
A Midsummer Night's Dream,Aura,Air,0,Unique,Arthurian Legends,0,0
Aaj-kegon Ghost Crabs,Minion,Water,4,Elite,Gothic,2,3
Abaddon Succubus,Minion,Water,56,Elite,Gothic,2,44
Abundance,Aura,Water,0,Elite,Alpha,0,0
Abyssal Assault,Magic,Water,2,Exceptional,Gothic,2,2
Accursed Albatross,Minion,Water,0,Exceptional,Alpha,0,0
Accursed Desert,Site,Fire,13,Ordinary,Gothic,1,16
Accursed Tower,Site,Air,0,Ordinary,Gothic,0,0
Accusation,Magic,Fire,3,Exceptional,Gothic,3,2
Acid Rain,Aura,Water,8,Elite,Gothic,1,9
Active Volcano,Site,Fire,52,Exceptional,Gothic,2,36
Adept Illusionist,Minion,Water,28,Elite,Alpha,2,22
Adtonitum,Minion,Air,0,Unique,Dragonlord,0,0
Aethermoeba,Minion,Air,0,Elite,Gothic,0,0
Aino,Minion,Water,26,Unique,Gothic,1,41
Alabaster Box,Artifact,None,0,Elite,Gothic,0,0
Albespine Pikemen,Minion,Earth,0,Exceptional,Alpha,0,0
Algae Bloom,Site,Water,0,Ordinary,Gothic,0,0
Algor Omphalos,Artifact,None,16,Unique,Gothic,1,25
All Mortals Gone,Magic,Air,0,Unique,Gothic,0,0
All-terrain Vestments,Artifact,None,0,Elite,Alpha,0,0
Altar of Malachai,Site,None,2,Unique,Gothic,1,3
Alvalinne Dryads,Minion,Earth,0,Ordinary,Alpha,0,0
Amazon Warriors,Minion,Earth,0,Ordinary,Alpha,0,0
Amethyst Core,Artifact,None,5,Unique,Alpha,1,8
Amulet of Niniane,Artifact,None,0,Unique,Arthurian Legends,0,0
Ancient Dragon,Minion,Fire,0,Elite,Alpha,0,0
Angel Ascendant,Minion,Earth,2,Elite,Gothic,2,2
Angel's Egg,Artifact,None,2,Elite,Alpha,2,2
Angry Mob,Minion,Fire,10,Ordinary,Gothic,2,8
