Name,Type,Element,Count,Rarity,Set,Average_Played,Percent_of_Decks_with_at_least_one_copy
Apprentice Wizard,Minion,Air,23,Ordinary,Alpha,3,21
Blood Ravens,Minion,Air,0,Ordinary,Alpha,0,0
Candlemas Monks,Minion,Air,0,Elite,Alpha,0,0
Cloud Spirit,Minion,Air,4,Ordinary,Alpha,4,3
Daperyll Vampire,Minion,Air,31,Exceptional,Alpha,3,33
Dead of Night Demon,Minion,Air,0,Ordinary,Alpha,0,0
East-West Dragon,Minion,Air,0,Elite,Alpha,0,0
Grandmaster Wizard,Minion,Air,21,Elite,Alpha,2,33
Grim Reaper,Minion,Air,2,Unique,Alpha,1,6
Gyre Hippogriffs,Minion,Air,14,Exceptional,Alpha,3,15
Haast Eagle,Minion,Air,0,Exceptional,Alpha,0,0
Headless Haunt,Minion,Air,6,Exceptional,Alpha,3,6
Highland Clansmen,Minion,Air,2,Ordinary,Alpha,2,3
Highland Falconer,Minion,Air,4,Elite,Alpha,2,6
Highland Princess,Minion,Air,13,Unique,Alpha,1,39
Hounds of Ondaros,Minion,Air,4,Elite,Alpha,2,6
Kite Archer,Minion,Air,0,Exceptional,Alpha,0,0
Lord of the Void,Minion,Air,0,Unique,Alpha,0,0
Men of Leng,Minion,Air,3,Ordinary,Alpha,3,3
Midnight Rogue,Minion,Air,0,Ordinary,Alpha,0,0
Moon Clan Werewolf,Minion,Air,0,Exceptional,Alpha,0,0
Nightmare,Minion,Air,0,Elite,Alpha,0,0
Nimbus Jinn,Minion,Air,9,Elite,Alpha,2,15
Palliburrie Bats,Minion,Air,3,Ordinary,Alpha,3,3
Peregrine Apparition,Minion,Air,0,Exceptional,Alpha,0,0
Phantasmal Shade,Minion,Air,3,Exceptional,Alpha,3,3
Phantom Steed,Minion,Air,2,Exceptional,Alpha,2,3
Phase Assassin,Minion,Air,16,Exceptional,Alpha,3,18
Plumed Pegasus,Minion,Air,0,Ordinary,Alpha,0,0
Puppet Master,Minion,Air,0,Elite,Alpha,0,0
Recurring Specter,Minion,Air,2,Elite,Alpha,2,3
Riddle Sphinx,Minion,Air,0,Elite,Alpha,0,0
Roaming Monster,Minion,Air,4,Ordinary,Alpha,2,6
Skirmishers of Mu,Minion,Air,0,Exceptional,Alpha,0,0
Sky Baron,Minion,Air,2,Elite,Alpha,1,6
Sling Pixies,Minion,Air,0,Exceptional,Alpha,0,0
Snow Leopard,Minion,Air,0,Ordinary,Alpha,0,0
Spectral Stalker,Minion,Air,0,Ordinary,Alpha,0,0
Spire Lich,Minion,Air,0,Exceptional,Alpha,0,0
Ultimate Horror,Minion,Air,0,Unique,Alpha,0,0
Vril Revenant,Minion,Air,0,Elite,Alpha,0,0
Wind Sylph,Minion,Air,0,Exceptional,Alpha,0,0
Witherwing Hero,Minion,Air,1,Unique,Alpha,1,3
Zephyranne Airship,Minion,Air,0,Elite,Alpha,0,0
Blink,Magic,Air,48,Ordinary,Alpha,3,45
Browse,Magic,Air,10,Unique,Alpha,1,30
Chain Lightning,Magic,Air,5,Exceptional,Alpha,2,6
Chaos Twister,Magic,Air,0,Elite,Alpha,0,0
Disenchant,Magic,Air,23,Ordinary,Alpha,2,42
Dream-Quest,Magic,Air,1,Unique,Alpha,1,3
Fade,Magic,Air,1,Ordinary,Alpha,1,3
Flanking Maneuver,Magic,Air,4,Exceptional,Alpha,1,12
Grapple Shot,Magic,Air,33,Ordinary,Alpha,2,42
Lightning Bolt,Magic,Air,35,Ordinary,Alpha,2,52
Mortality,Magic,Air,1,Ordinary,Alpha,1,3
Occult Ritual,Magic,Air,0,Unique,Alpha,0,0
Psionic Blast,Magic,Air,0,Exceptional,Alpha,0,0
Rain of Arrows,Magic,Air,0,Ordinary,Alpha,0,0
Raise Dead,Magic,Air,0,Exceptional,Alpha,0,0
Recall,Magic,Air,0,Exceptional,Alpha,0,0
Telekinesis,Magic,Air,0,Exceptional,Alpha,0,0
Teleport,Magic,Air,8,Ordinary,Alpha,4,6
Unlikely Alliance,Magic,Air,3,Elite,Alpha,2,6
Waypoint Portal,Magic,Air,0,Exceptional,Alpha,0,0
Whirling Blades,Magic,Air,10,Exceptional,Alpha,2,12
Windblast,Magic,Air,0,Exceptional,Alpha,0,0
Evil Presence,Aura,Air,3,Exceptional,Alpha,3,3
Summoning Sphere,Aura,Air,9,Exceptional,Alpha,2,15
Thunderstorm,Aura,Air,8,Exceptional,Alpha,3,9
Wall of Air,Aura,Air,0,Ordinary,Alpha,0,0
Albespine Pikemen,Minion,Earth,0,Exceptional,Alpha,0,0
Alvalinne Dryads,Minion,Earth,2,Ordinary,Alpha,2,3
Amazon Warriors,Minion,Earth,7,Ordinary,Alpha,2,12
Atlas Wanderers,Minion,Earth,4,Elite,Alpha,2,6
Autumn Unicorn,Minion,Earth,11,Exceptional,Alpha,3,12
Belmotte Longbowmen,Minion,Earth,0,Ordinary,Alpha,0,0
Bone Rabble,Minion,Earth,0,Ordinary,Alpha,0,0
Bosk Troll,Minion,Earth,4,Ordinary,Alpha,2,6
Cave Trolls,Minion,Earth,0,Ordinary,Alpha,0,0
Conqueror Worm,Minion,Earth,1,Elite,Alpha,1,3
Crown Prince,Minion,Earth,1,Unique,Alpha,1,3
Dalcean Phalanx,Minion,Earth,6,Exceptional,Alpha,3,6
Dwarven Digging Team,Minion,Earth,0,Exceptional,Alpha,0,0
Frontier Settlers,Minion,Earth,0,Exceptional,Alpha,0,0
Gneissgnath Gnomes,Minion,Earth,0,Exceptional,Alpha,0,0
Grey Wolves,Minion,Earth,0,Ordinary,Alpha,0,0
House Arn Bannerman,Minion,Earth,1,Exceptional,Alpha,1,3
King of the Realm,Minion,Earth,2,Unique,Alpha,1,6
Land Surveyor,Minion,Earth,20,Ordinary,Alpha,3,18
Mage Slayer,Minion,Earth,0,Ordinary,Alpha,0,0
Master Tracker,Minion,Earth,1,Elite,Alpha,1,3
Midland Army,Minion,Earth,1,Unique,Alpha,1,3
Miracle Workers,Minion,Earth,0,Ordinary,Alpha,0,0
Monastery Gargoyle,Minion,Earth,0,Exceptional,Alpha,0,0
Monster Hunter,Minion,Earth,0,Exceptional,Alpha,0,0
Mordric Druids,Minion,Earth,1,Elite,Alpha,1,3
Mountain Giant,Minion,Earth,0,Elite,Alpha,0,0
Pudge Butcher,Minion,Earth,9,Exceptional,Alpha,3,9
Queen of Midland,Minion,Earth,0,Unique,Alpha,0,0
Root Spider,Minion,Earth,32,Exceptional,Alpha,2,42
Royal Bodyguard,Minion,Earth,6,Elite,Alpha,2,9
Scent Hounds,Minion,Earth,0,Ordinary,Alpha,0,0
Scourge Zombies,Minion,Earth,0,Ordinary,Alpha,0,0
Shield Maidens,Minion,Earth,6,Exceptional,Alpha,2,12
Silver Valkyries,Minion,Earth,0,Elite,Alpha,0,0
Sirian Templar,Minion,Earth,0,Exceptional,Alpha,0,0
Sisters of Silence,Minion,Earth,0,Elite,Alpha,0,0
Slumbering Giantess,Minion,Earth,6,Exceptional,Alpha,3,6
Squirming Mass,Minion,Earth,0,Elite,Alpha,0,0
Stone-gaze Gorgons,Minion,Earth,0,Elite,Alpha,0,0
Tragedy Worrywart,Minion,Earth,4,Exceptional,Alpha,2,6
Vanguard Knights,Minion,Earth,1,Exceptional,Alpha,1,3
Wicked Witch,Minion,Earth,2,Elite,Alpha,2,3
Wild Boars,Minion,Earth,4,Ordinary,Alpha,4,3
Wraetannis Titan,Minion,Earth,10,Elite,Alpha,2,18
Yourke Crossbowmen,Minion,Earth,0,Exceptional,Alpha,0,0
Assorted Animals,Magic,Earth,1,Elite,Alpha,1,3
Border Militia,Magic,Earth,0,Ordinary,Alpha,0,0
Bury,Magic,Earth,12,Ordinary,Alpha,1,30
Call to War,Magic,Earth,1,Exceptional,Alpha,1,3
Cave-In,Magic,Earth,8,Exceptional,Alpha,2,15
Common Sense,Magic,Earth,42,Ordinary,Alpha,3,39
Craterize,Magic,Earth,11,Elite,Alpha,2,18
Dispel,Magic,Earth,9,Ordinary,Alpha,1,24
Divine Healing,Magic,Earth,22,Exceptional,Alpha,2,27
Earthquake,Magic,Earth,21,Elite,Alpha,2,36
Exorcism,Magic,Earth,0,Ordinary,Alpha,0,0
Gigantism,Magic,Earth,5,Unique,Alpha,1,15
Minecart Madness,Magic,Earth,0,Exceptional,Alpha,0,0
Overpower,Magic,Earth,0,Ordinary,Alpha,0,0
Shield Wall,Magic,Earth,0,Exceptional,Alpha,0,0
Star-seeds of Uhr,Magic,Earth,0,Unique,Alpha,0,0
Unravel,Magic,Earth,0,Ordinary,Alpha,0,0
Crusade,Aura,Earth,4,Unique,Alpha,1,12
Entangle Terrain,Aura,Earth,0,Ordinary,Alpha,0,0
Rest in Peace,Aura,Earth,1,Elite,Alpha,1,3
Ancient Dragon,Minion,Fire,4,Elite,Alpha,1,9
